range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
57007, 2, 14787.5, 20902.8, 2, 28627, 40145.3, 2280, 900, 950
58287, 2, 14787.5, 20902.8, 52, 13583.5, 18181.2, 2410, 3190, 970
65444, 2, 14787.5, 20902.8, 376, 15393.5, 20841.6, 2670, 15310, 1350
39380, 2, 14787.5, 20902.8, 2, 19715.5, 27819.7, 2240, 870, 970
51930, 2, 14787.5, 20902.8, 2, 25992.5, 36691.1, 2040, 870, 980
64023, 2, 14787.5, 20902.8, 48, 19538.6, 24859.6, 2490, 2930, 1010
44527, 2, 14787.5, 20902.8, 14, 22447.1, 22772.7, 2410, 1630, 950
29561, 2, 14787.5, 20902.8, 2, 2944.5, 3574.42, 2260, 850, 940
49155, 2, 14787.5, 20902.8, 2, 24603, 34731.7, 2230, 850, 940
51200, 2, 14787.5, 20902.8, 2, 25876, 35823.4, 2180, 840, 940
48222, 2, 14787.5, 20902.8, 2, 24116, 34098.1, 2080, 840, 980
62810, 2, 14787.5, 20902.8, 12, 23992.4, 28915.4, 2370, 1620, 930
65016, 2, 14787.5, 20902.8, 4, 28117.5, 33202.7, 2250, 1390, 969
40898, 2, 14787.5, 20902.8, 4, 13613.8, 19078.7, 2240, 1340, 970
52790, 2, 14787.5, 20902.8, 8, 26138.8, 27441.4, 2330, 1340, 959
63502, 2, 14787.5, 20902.8, 8, 16757.4, 26418.2, 2340, 1610, 1000
63211, 2, 14787.5, 20902.8, 10, 28085, 29750.7, 2360, 1460, 940
39065, 2, 14787.5, 20902.8, 4, 18266.5, 21143.2, 2230, 1250, 950
53379, 2, 14787.5, 20902.8, 2, 26942, 37397.5, 2220, 860, 940
47679, 2, 14787.5, 20902.8, 10, 11037.3, 15604.5, 2270, 1640, 940
64992, 2, 14787.5, 20902.8, 134, 18069.7, 23894.1, 2500, 6030, 1030
47899, 2, 14787.5, 20902.8, 2, 24203, 33521.1, 2260, 850, 960
62342, 2, 14787.5, 20902.8, 165, 15772.3, 19433.2, 2600, 1620, 1040
29561, 2, 14787.5, 20902.8, 10, 6738.3, 7863.47, 2380, 1580, 1030
62550, 2, 14787.5, 20902.8, 14, 27301, 28592.5, 2400, 1640, 950
29561, 2, 14787.5, 20902.8, 4, 4814.75, 5706.13, 2100, 1340, 1040
48186, 2, 14787.5, 20902.8, 8, 20265.6, 21537.7, 2160, 1430, 979
62355, 2, 14787.5, 20902.8, 98, 19656.7, 22936.5, 2510, 4790, 1010
29561, 2, 14787.5, 20902.8, 2, 9608, 13524.1, 2260, 870, 950
29561, 2, 14787.5, 20902.8, 10, 11839.2, 12585.9, 2310, 1640, 1020
57470, 2, 14787.5, 20902.8, 8, 15565, 25981.7, 2350, 1589, 1040
45642, 2, 14787.5, 20902.8, 2, 22850, 32242.7, 2200, 830, 950
29561, 2, 14787.5, 20902.8, 2, 5142.5, 6562.66, 2340, 880, 940
62207, 2, 14787.5, 20902.8, 100, 16712, 23130, 2510, 4740, 990
29561, 2, 14787.5, 20902.8, 2, 12095, 17035.6, 2240, 870, 950
47003, 2, 14787.5, 20902.8, 2, 23631, 33062.9, 2160, 830, 940
29561, 2, 14787.5, 20902.8, 2, 9323.5, 12471.2, 2170, 850, 920
60794, 2, 14787.5, 20902.8, 2, 30421.5, 42963.1, 2210, 850, 930
38472, 2, 14787.5, 20902.8, 2, 19431, 26937.9, 2220, 850, 950
64985, 2, 14787.5, 20902.8, 8, 18478.4, 24503.9, 2270, 1540, 910
60687, 2, 14787.5, 20902.8, 110, 19275.3, 23652.8, 2560, 5520, 960
44151, 2, 14787.5, 20902.8, 2, 22124, 31160.8, 2260, 850, 950
53460, 2, 14787.5, 20902.8, 8, 23647.2, 26339.2, 2240, 1480, 900
56160, 2, 14787.5, 20902.8, 8, 11160.8, 19451.1, 2320, 1530, 950
