range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
65534, 197564, 16629.1, 21001.3, 42800, 16567.8, 21074.9, 132679, 41459, 1538065
65535, 197564, 16629.1, 21001.3, 530445, 16886.4, 21253.8, 144658, 90300, 8386023
65534, 197564, 16629.1, 21001.3, 14588, 17150.3, 20380.9, 134718, 36750, 343826
65534, 197564, 16629.1, 21001.3, 451, 17048, 21430.6, 121749, 7160, 112138
65534, 197564, 16629.1, 21001.3, 29803, 16721.3, 21094.2, 149298, 36040, 568504
65534, 197564, 16629.1, 21001.3, 55919, 16789.3, 21222.2, 139608, 42730, 1779441
65534, 197564, 16629.1, 21001.3, 88039, 16640.4, 21065.3, 139488, 75649, 2358656
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 147409, 1060199, 9624620
65534, 197564, 16629.1, 21001.3, 278, 17093.7, 21678.7, 167948, 77779, 110229
65535, 197564, 16629.1, 21001.3, 96613, 16755.1, 21130.1, 140369, 79389, 2473154
65534, 197564, 16629.1, 21001.3, 246, 16996.9, 21074.6, 129448, 73530, 108488
65534, 197564, 16629.1, 21001.3, 39873, 16656.6, 21057, 133479, 56169, 722592
65534, 197564, 16629.1, 21001.3, 8178, 16635.4, 21038.6, 135869, 15949, 244488
65534, 197564, 16629.1, 21001.3, 25578, 16662.7, 21009.7, 135019, 31970, 500074
65534, 197564, 16629.1, 21001.3, 703, 16302, 20772.4, 131199, 7869, 114539
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 147698, 139559, 6617141
65535, 197564, 16629.1, 21001.3, 530445, 16886.4, 21253.8, 147168, 89359, 8225935
65534, 197564, 16629.1, 21001.3, 175, 17951.1, 21771.2, 143778, 11640, 111499
65534, 197564, 16629.1, 21001.3, 4898, 16903.4, 21166, 125969, 19490, 183078
65535, 197564, 16629.1, 21001.3, 190424, 16533.4, 20966, 136098, 130599, 2535333
65535, 197564, 16629.1, 21001.3, 1443329, 16707.1, 21108.2, 158038, 833681, 9438233
65534, 197564, 16629.1, 21001.3, 11040, 16500.9, 20916, 134279, 18059, 270148
65534, 197564, 16629.1, 21001.3, 130, 16943.1, 21245.4, 81349, 3900, 104309
65534, 197564, 16629.1, 21001.3, 445, 16921.6, 21310.2, 120228, 11170, 123929
65534, 197564, 16629.1, 21001.3, 2078, 16733.6, 21468.5, 131429, 12980, 132638
65534, 197564, 16629.1, 21001.3, 28456, 17700.6, 21532.7, 136599, 26359, 529675
65534, 197564, 16629.1, 21001.3, 36099, 16448.5, 20986.7, 135779, 38239, 1316987
65534, 197564, 16629.1, 21001.3, 68734, 16603.9, 21077.1, 136729, 47809, 1957300
65534, 197564, 16629.1, 21001.3, 162, 17178.5, 21446.8, 107679, 18280, 109279
65535, 197564, 16629.1, 21001.3, 97017, 16618.4, 20917.2, 147529, 87959, 2080568
65534, 197564, 16629.1, 21001.3, 73888, 16762, 21264.8, 134818, 50720, 1860110
65534, 197564, 16629.1, 21001.3, 445, 16546.3, 20997.4, 127989, 7090, 112189
65534, 197564, 16629.1, 21001.3, 91, 14970.1, 19824.2, 6550, 9450, 120198
65534, 197564, 16629.1, 21001.3, 8880, 17154.2, 17178.1, 145038, 2707512, 195808
65534, 197564, 16629.1, 21001.3, 112507, 16517.8, 20958.6, 143268, 79639, 2661902
65534, 197564, 16629.1, 21001.3, 6542, 14580, 14586.4, 130878, 1890811, 152568
65534, 197564, 16629.1, 21001.3, 1198, 18908.2, 23072.1, 131248, 149739, 128258
65534, 197564, 16629.1, 21001.3, 10443, 16808.9, 21161.9, 152468, 22380, 877601
65534, 197564, 16629.1, 21001.3, 738, 16811, 21334.4, 128749, 6880, 119469
65534, 197564, 16629.1, 21001.3, 308, 17528.4, 21442.4, 110839, 86589, 110419
65534, 197564, 16629.1, 21001.3, 48446, 16667.3, 21014.5, 138288, 43120, 1712602
65534, 197564, 16629.1, 21001.3, 10038, 16514.5, 16534.1, 144939, 2548143, 210438
65534, 197564, 16629.1, 21001.3, 11568, 16545.6, 21039.9, 133658, 19910, 295307
65534, 197564, 16629.1, 21001.3, 46454, 16625.6, 21090.5, 138669, 38730, 806361
65534, 197564, 16629.1, 21001.3, 42115, 16639.5, 21084.9, 133188, 35860, 751562
65534, 197564, 16629.1, 21001.3, 103, 14159.9, 19406.1, 93339, 9420, 107268
65534, 197564, 16629.1, 21001.3, 89, 14953.2, 20220.8, 99809, 2880, 105669
65534, 197564, 16629.1, 21001.3, 863, 16965.1, 21318.4, 123069, 7680, 116889
65534, 197564, 16629.1, 21001.3, 7560, 19842.2, 19854.6, 174018, 2239697, 180778
65534, 197564, 16629.1, 21001.3, 7964, 17171.7, 20027.5, 133878, 27590, 243977
65534, 197564, 16629.1, 21001.3, 27360, 16477.9, 20918.7, 149209, 30790, 522565
65534, 197564, 16629.1, 21001.3, 32, 12999.2, 18763, 54570, 16969, 96979
65534, 197564, 16629.1, 21001.3, 29794, 16517.7, 20978, 152158, 32890, 562774
65534, 197564, 16629.1, 21001.3, 2014, 17821.9, 21435.7, 131048, 19820, 152699
65534, 197564, 16629.1, 21001.3, 4082, 14780, 14773.7, 130919, 1109858, 113029
65534, 197564, 16629.1, 21001.3, 30356, 16704.2, 21035.6, 134838, 35350, 595913
65534, 197564, 16629.1, 21001.3, 1997, 16604.8, 21082.1, 133859, 9899, 136939
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 145848, 1062859, 9628560
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 150728, 141099, 6672030
65534, 197564, 16629.1, 21001.3, 5898, 16377.6, 20754.4, 135739, 18810, 217357
65534, 197564, 16629.1, 21001.3, 282, 17216.3, 21381.2, 54889, 5010, 110179
65534, 197564, 16629.1, 21001.3, 2626, 15129.6, 18655.6, 131888, 96109, 155999
65534, 197564, 16629.1, 21001.3, 11863, 16679.5, 21171.2, 136729, 14640, 908840
65534, 197564, 16629.1, 21001.3, 7268, 23587.8, 23591, 205598, 2125758, 187768
65534, 197564, 16629.1, 21001.3, 5070, 16450.3, 20877.2, 133269, 12199, 177259
65535, 197564, 16629.1, 21001.3, 630099, 16675.9, 21113, 136629, 383826, 8483372
65535, 197564, 16629.1, 21001.3, 1749744, 16655.9, 21067.6, 183209, 1014950, 12409491
65534, 197564, 16629.1, 21001.3, 42800, 16567.8, 21074.9, 135228, 42910, 1638173
