range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65535, 197564, 16629.1, 21001.3, 17083, 16625.2, 21188.3, 142928, 185168, 774052, 147909
65534, 197564, 16629.1, 21001.3, 29794, 16517.7, 20978, 181758, 147989, 580494, 402916
65535, 197564, 16629.1, 21001.3, 530445, 16886.4, 21253.8, 343147, 289357, 9309593, 3407654
65534, 197564, 16629.1, 21001.3, 55919, 16789.3, 21222.2, 226728, 242707, 1854261, 381806
65535, 197564, 16629.1, 21001.3, 203042, 16553.7, 21025.7, 459215, 1226737, 5439094, 2079409
65534, 197564, 16629.1, 21001.3, 3394, 19531.3, 22374.8, 141198, 83990, 167918, 236067
65534, 197564, 16629.1, 21001.3, 42800, 16567.8, 21074.9, 212838, 693272, 1629174, 470526
65535, 197564, 16629.1, 21001.3, 530445, 16886.4, 21253.8, 328657, 301937, 8808249, 3433894
65534, 197564, 16629.1, 21001.3, 14588, 17150.3, 20380.9, 162288, 341047, 347406, 138139
65534, 197564, 16629.1, 21001.3, 451, 17048, 21430.6, 98409, 9960, 111979, 26480
65534, 197564, 16629.1, 21001.3, 29803, 16721.3, 21094.2, 201868, 215938, 586034, 241677
65534, 197564, 16629.1, 21001.3, 55919, 16789.3, 21222.2, 217118, 206957, 1848131, 381556
65534, 197564, 16629.1, 21001.3, 88039, 16640.4, 21065.3, 327316, 640903, 2429905, 757622
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 1932110, 1283346, 9793769, 9701029
65534, 197564, 16629.1, 21001.3, 278, 17093.7, 21678.7, 73470, 7569, 109669, 48460
65535, 197564, 16629.1, 21001.3, 96613, 16755.1, 21130.1, 329337, 627613, 2607773, 645343
65534, 197564, 16629.1, 21001.3, 246, 16996.9, 21074.6, 70079, 11530, 108289, 47819
65534, 197564, 16629.1, 21001.3, 39873, 16656.6, 21057, 201898, 918230, 727963, 295007
65534, 197564, 16629.1, 21001.3, 8178, 16635.4, 21038.6, 129089, 83219, 235628, 95289
65534, 197564, 16629.1, 21001.3, 25578, 16662.7, 21009.7, 172308, 538765, 504324, 210098
65534, 197564, 16629.1, 21001.3, 703, 16302, 20772.4, 101279, 22049, 114499, 34290
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 9698970, 9652500, 5843310, 1587243
65535, 197564, 16629.1, 21001.3, 530445, 16886.4, 21253.8, 325717, 316776, 8970097, 3436565
65534, 197564, 16629.1, 21001.3, 175, 17951.1, 21771.2, 79690, 4740, 109189, 151039
65534, 197564, 16629.1, 21001.3, 4898, 16903.4, 21166, 160589, 138918, 183288, 76049
65535, 197564, 16629.1, 21001.3, 190424, 16533.4, 20966, 433765, 3587623, 2370056, 1372006
65535, 197564, 16629.1, 21001.3, 1443329, 16707.1, 21108.2, 1933419, 1092529, 9625360, 9822288
65534, 197564, 16629.1, 21001.3, 11040, 16500.9, 20916, 140258, 183478, 270507, 280647
65534, 197564, 16629.1, 21001.3, 130, 16943.1, 21245.4, 102199, 3890, 104739, 43260
65534, 197564, 16629.1, 21001.3, 445, 16921.6, 21310.2, 97409, 18049, 110209, 25930
65534, 197564, 16629.1, 21001.3, 2078, 16733.6, 21468.5, 105078, 42130, 132819, 60259
65534, 197564, 16629.1, 21001.3, 28456, 17700.6, 21532.7, 154979, 126158, 557075, 229957
65534, 197564, 16629.1, 21001.3, 36099, 16448.5, 20986.7, 195978, 192468, 1327326, 278657
65534, 197564, 16629.1, 21001.3, 68734, 16603.9, 21077.1, 235997, 531265, 2040199, 627664
65534, 197564, 16629.1, 21001.3, 162, 17178.5, 21446.8, 113859, 3920, 108669, 42699
65535, 197564, 16629.1, 21001.3, 97017, 16618.4, 20917.2, 324056, 1136918, 1994140, 639113
65534, 197564, 16629.1, 21001.3, 73888, 16762, 21264.8, 235237, 412216, 1993639, 680673
65534, 197564, 16629.1, 21001.3, 445, 16546.3, 20997.4, 103609, 8770, 111899, 27330
65534, 197564, 16629.1, 21001.3, 91, 14970.1, 19824.2, 79949, 4240, 123089, 88559
65534, 197564, 16629.1, 21001.3, 8880, 17154.2, 17178.1, 67779, 147378, 193748, 77770
65534, 197564, 16629.1, 21001.3, 112507, 16517.8, 20958.6, 339097, 578254, 2755171, 739802
65534, 197564, 16629.1, 21001.3, 6542, 14580, 14586.4, 78199, 110949, 150858, 61629
65534, 197564, 16629.1, 21001.3, 1198, 18908.2, 23072.1, 65919, 34770, 128349, 237027
65534, 197564, 16629.1, 21001.3, 10443, 16808.9, 21161.9, 124788, 122909, 893251, 108069
65534, 197564, 16629.1, 21001.3, 738, 16811, 21334.4, 109009, 8330, 119669, 218827
65534, 197564, 16629.1, 21001.3, 308, 17528.4, 21442.4, 102149, 4650, 109949, 48820
65534, 197564, 16629.1, 21001.3, 48446, 16667.3, 21014.5, 827891, 210388, 1712242, 502685
65534, 197564, 16629.1, 21001.3, 10038, 16514.5, 16534.1, 84469, 163829, 221617, 84469
65534, 197564, 16629.1, 21001.3, 11568, 16545.6, 21039.9, 133448, 78740, 286327, 116118
65534, 197564, 16629.1, 21001.3, 46454, 16625.6, 21090.5, 193288, 943030, 815972, 506384
65534, 197564, 16629.1, 21001.3, 42115, 16639.5, 21084.9, 182368, 949150, 731703, 297486
65534, 197564, 16629.1, 21001.3, 103, 14159.9, 19406.1, 60399, 5010, 106779, 150649
65534, 197564, 16629.1, 21001.3, 89, 14953.2, 20220.8, 107999, 2720, 105439, 57389
65534, 197564, 16629.1, 21001.3, 863, 16965.1, 21318.4, 100429, 20579, 117119, 47500
65534, 197564, 16629.1, 21001.3, 7560, 19842.2, 19854.6, 67439, 135579, 193998, 73429
65534, 197564, 16629.1, 21001.3, 7964, 17171.7, 20027.5, 161698, 127329, 248197, 96299
65534, 197564, 16629.1, 21001.3, 27360, 16477.9, 20918.7, 183948, 129078, 525215, 390306
65534, 197564, 16629.1, 21001.3, 32, 12999.2, 18763, 114979, 3420, 96719, 41540
65534, 197564, 16629.1, 21001.3, 29794, 16517.7, 20978, 158229, 147798, 580154, 391836
65534, 197564, 16629.1, 21001.3, 2014, 17821.9, 21435.7, 87629, 73059, 153848, 60110
65534, 197564, 16629.1, 21001.3, 4082, 14780, 14773.7, 59510, 67000, 111999, 46719
65534, 197564, 16629.1, 21001.3, 30356, 16704.2, 21035.6, 173688, 189618, 594294, 398916
65534, 197564, 16629.1, 21001.3, 1997, 16604.8, 21082.1, 122199, 58379, 137259, 58639
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 1796701, 1274797, 9783948, 9749679
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 9682689, 9689340, 5857620, 1597113
65534, 197564, 16629.1, 21001.3, 5898, 16377.6, 20754.4, 118069, 154798, 186978, 81729
65534, 197564, 16629.1, 21001.3, 282, 17216.3, 21381.2, 115119, 5949, 109589, 48920
65534, 197564, 16629.1, 21001.3, 2626, 15129.6, 18655.6, 88259, 71629, 157759, 65549
65534, 197564, 16629.1, 21001.3, 11863, 16679.5, 21171.2, 133948, 184428, 919481, 116658
65534, 197564, 16629.1, 21001.3, 7268, 23587.8, 23591, 100419, 153598, 186438, 76590
65534, 197564, 16629.1, 21001.3, 5070, 16450.3, 20877.2, 118429, 107489, 177288, 76059
65535, 197564, 16629.1, 21001.3, 630099, 16675.9, 21113, 1560024, 710043, 9007067, 4096328
65535, 197564, 16629.1, 21001.3, 1749744, 16655.9, 21067.6, 1292256, 3168687, 12251753, 10398582
65534, 197564, 16629.1, 21001.3, 42800, 16567.8, 21074.9, 196248, 813091, 1623474, 478475
65535, 197564, 16629.1, 21001.3, 72576, 16659.4, 21079.5, 256497, 1535174, 1233308, 656943
65534, 197564, 16629.1, 21001.3, 8272, 16788.4, 21049, 122129, 85149, 229038, 96449
65535, 197564, 16629.1, 21001.3, 171933, 16608.6, 21039.3, 421426, 453955, 2904290, 1090939
65534, 197564, 16629.1, 21001.3, 58408, 16806.7, 21133.7, 234947, 266628, 1031909, 579934
65534, 197564, 16629.1, 21001.3, 29803, 16721.3, 21094.2, 168449, 215047, 508615, 224658
65535, 197564, 16629.1, 21001.3, 862911, 16726.2, 21100.6, 963300, 2309886, 8429353, 5458763
65534, 197564, 16629.1, 21001.3, 88039, 16640.4, 21065.3, 328296, 702053, 2307166, 748962
65534, 197564, 16629.1, 21001.3, 108817, 16634.7, 20972.8, 339136, 2274997, 1486164, 699093
65535, 197564, 16629.1, 21001.3, 41139, 16795.6, 21115.6, 217168, 231528, 762572, 293857
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 1830421, 1277307, 9551681, 8896067
65534, 197564, 16629.1, 21001.3, 29803, 16721.3, 21094.2, 169948, 215958, 587433, 231538
