range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 1422610, 1390022, 680855, 213386
65534, 197564, 16629.1, 21001.3, 13256, 16425.4, 20910.7, 24415, 23853, 50048, 42197
65534, 197564, 16629.1, 21001.3, 251, 16618.1, 21151.1, 14533, 1041, 16822, 6003
65534, 197564, 16629.1, 21001.3, 423, 16452.1, 21014.8, 15902, 3103, 17254, 3639
65534, 197564, 16629.1, 21001.3, 5310, 17053.8, 21115.9, 19447, 14071, 29555, 11176
65534, 197564, 16629.1, 21001.3, 1561, 17449, 21502.8, 16736, 8536, 20103, 7466
65534, 197564, 16629.1, 21001.3, 7747, 16634.6, 21170.1, 21450, 17396, 36241, 13274
65534, 197564, 16629.1, 21001.3, 3428, 16929.1, 21398.3, 18542, 10069, 25073, 33034
65534, 197564, 16629.1, 21001.3, 2139, 15643.7, 20574.5, 16530, 5382, 21518, 7550
65535, 197564, 16629.1, 21001.3, 255502, 16705, 21163.2, 197927, 113967, 1162132, 347486
65534, 197564, 16629.1, 21001.3, 389, 16721.8, 21048.1, 16226, 1979, 17481, 4036
65534, 197564, 16629.1, 21001.3, 1665, 16242.8, 20699.8, 16778, 5135, 21040, 6284
65534, 197564, 16629.1, 21001.3, 47422, 16671.2, 21111.9, 45237, 61837, 135858, 73006
65534, 197564, 16629.1, 21001.3, 434, 16740, 21412.9, 15422, 3045, 17516, 6768
65535, 197564, 16629.1, 21001.3, 203042, 16553.7, 21025.7, 111102, 224759, 876682, 299584
65534, 197564, 16629.1, 21001.3, 29794, 16517.7, 20978, 31103, 33702, 90952, 57040
65534, 197564, 16629.1, 21001.3, 16650, 16349.9, 20855, 25055, 25375, 57445, 44793
65534, 197564, 16629.1, 21001.3, 16650, 16349.9, 20855, 25146, 22755, 57525, 44785
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 1402485, 1391305, 674368, 211950
65535, 197564, 16629.1, 21001.3, 131331, 16661.7, 21053.2, 88288, 227779, 442556, 147287
65535, 197564, 16629.1, 21001.3, 81094, 16647.5, 20996, 61249, 102437, 382427, 188675
65534, 197564, 16629.1, 21001.3, 3806, 8989.5, 8992.08, 5806, 12352, 14394, 5495
65535, 197564, 16629.1, 21001.3, 188809, 16531.8, 20963, 107045, 498503, 473666, 173605
65534, 197564, 16629.1, 21001.3, 42800, 16567.8, 21074.9, 41056, 118663, 255322, 68801
65534, 197564, 16629.1, 21001.3, 108226, 16697.2, 21074, 76876, 85687, 630604, 127287
65534, 197564, 16629.1, 21001.3, 188, 16587.9, 21364.4, 11406, 1592, 16778, 6629
65534, 197564, 16629.1, 21001.3, 48446, 16667.3, 21014.5, 119055, 51624, 272775, 73537
65534, 197564, 16629.1, 21001.3, 168, 16403.2, 20545.7, 15354, 1254, 16348, 6417
65534, 197564, 16629.1, 21001.3, 378, 16156.3, 20589.2, 14411, 1601, 17342, 6811
65535, 197564, 16629.1, 21001.3, 499585, 16626.2, 21049.8, 200774, 218097, 1617051, 469094
65534, 197564, 16629.1, 21001.3, 65746, 16751.1, 21147.2, 54233, 102473, 308644, 89599
65534, 197564, 16629.1, 21001.3, 255, 16769.4, 21213.7, 14117, 2643, 17072, 5197
65534, 197564, 16629.1, 21001.3, 249, 15939.6, 20803.3, 14169, 2047, 16803, 8500
65534, 197564, 16629.1, 21001.3, 31577, 16453.5, 20863.5, 35204, 54426, 164198, 34938
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 1402483, 1391645, 674176, 212658
65534, 197564, 16629.1, 21001.3, 459, 16771.6, 21221, 15953, 2664, 17689, 3629
65535, 197564, 16629.1, 21001.3, 1749744, 16655.9, 21067.6, 269995, 516192, 1901237, 1465758
65534, 197564, 16629.1, 21001.3, 7747, 16634.6, 21170.1, 21368, 18051, 36881, 13327
65534, 197564, 16629.1, 21001.3, 73888, 16762, 21264.8, 49266, 77867, 331244, 95840
65534, 197564, 16629.1, 21001.3, 47373, 16777.6, 21172.9, 36963, 50800, 419718, 48672
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 335512, 249147, 1495332, 1290833
65535, 197564, 16629.1, 21001.3, 92535, 16663.5, 21065.6, 68510, 121253, 391219, 89538
65534, 197564, 16629.1, 21001.3, 4876, 17785.5, 20945.4, 28407, 25578, 33560, 11469
65534, 197564, 16629.1, 21001.3, 29803, 16721.3, 21094.2, 34436, 44507, 91686, 33296
65535, 197564, 16629.1, 21001.3, 133473, 16616.3, 21076.2, 82086, 146714, 702230, 125508
65535, 197564, 16629.1, 21001.3, 446607, 16652.2, 21123.9, 238159, 141961, 1473062, 398963
65534, 197564, 16629.1, 21001.3, 146, 17242.5, 21751.9, 11650, 1451, 16755, 6724
65534, 197564, 16629.1, 21001.3, 10443, 16808.9, 21161.9, 23057, 25463, 139744, 15779
65534, 197564, 16629.1, 21001.3, 73888, 16762, 21264.8, 48749, 77189, 325735, 96122
65534, 197564, 16629.1, 21001.3, 172, 16241.4, 20725.8, 16074, 1062, 16665, 6475
65534, 197564, 16629.1, 21001.3, 2245, 17115, 21249.5, 19025, 6602, 23088, 6640
65534, 197564, 16629.1, 21001.3, 103115, 16633.6, 21010.5, 72621, 293970, 271569, 98883
65534, 197564, 16629.1, 21001.3, 6982, 16532.3, 21109.1, 20678, 29998, 33801, 12838
65534, 197564, 16629.1, 21001.3, 19699, 16595.7, 21151.9, 27210, 26590, 65348, 24106
65534, 197564, 16629.1, 21001.3, 4186, 16717, 20868.1, 19287, 9329, 57722, 33721
65534, 197564, 16629.1, 21001.3, 4028, 27492.2, 27488.7, 14958, 12356, 25584, 9489
65534, 197564, 16629.1, 21001.3, 226, 17309.6, 21519.2, 14217, 742, 16921, 6453
65534, 197564, 16629.1, 21001.3, 233, 16972.6, 20952.4, 15235, 670, 16445, 8119
65534, 197564, 16629.1, 21001.3, 9934, 13142.5, 13167.3, 8043, 32063, 33246, 12230
65534, 197564, 16629.1, 21001.3, 278, 16119.2, 20537, 15436, 1699, 16912, 6314
65534, 197564, 16629.1, 21001.3, 11844, 16628.1, 21155.6, 23320, 25072, 46387, 40638
65535, 197564, 16629.1, 21001.3, 17083, 16625.2, 21188.3, 26952, 34962, 124691, 21723
65534, 197564, 16629.1, 21001.3, 29794, 16517.7, 20978, 31280, 32893, 89601, 56874
65535, 197564, 16629.1, 21001.3, 530445, 16886.4, 21253.8, 77556, 71265, 1437379, 491662
