range, n1 , average1, std1, n2 , average2, std2, , skewed_1, skewed_2, non_skewed, fastest_algo
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 22776, 17323, 769356, skewed_2
65534, 197564, 16629.1, 21001.3, 13256, 16425.4, 20910.7, 17220, 3156, 50365, skewed_2
65534, 197564, 16629.1, 21001.3, 251, 16618.1, 21151.1, 10059, 676, 16806, skewed_2
65534, 197564, 16629.1, 21001.3, 423, 16452.1, 21014.8, 15490, 1197, 17465, skewed_2
65534, 197564, 16629.1, 21001.3, 5310, 17053.8, 21115.9, 16962, 1826, 29699, skewed_2
65534, 197564, 16629.1, 21001.3, 1561, 17449, 21502.8, 15829, 1367, 20142, skewed_2
65534, 197564, 16629.1, 21001.3, 7747, 16634.6, 21170.1, 15988, 2143, 36345, skewed_2
65534, 197564, 16629.1, 21001.3, 3428, 16929.1, 21398.3, 16363, 2493, 25182, skewed_2
65534, 197564, 16629.1, 21001.3, 2139, 15643.7, 20574.5, 15732, 1604, 21570, skewed_2
65535, 197564, 16629.1, 21001.3, 255502, 16705, 21163.2, 19751, 17902, 1173528, skewed_2
65534, 197564, 16629.1, 21001.3, 389, 16721.8, 21048.1, 15652, 1262, 17332, skewed_2
65534, 197564, 16629.1, 21001.3, 1665, 16242.8, 20699.8, 16686, 2038, 20728, skewed_2
65534, 197564, 16629.1, 21001.3, 47422, 16671.2, 21111.9, 19074, 6747, 137165, skewed_2
65534, 197564, 16629.1, 21001.3, 434, 16740, 21412.9, 13906, 1209, 17399, skewed_2
65535, 197564, 16629.1, 21001.3, 203042, 16553.7, 21025.7, 20691, 15848, 884145, skewed_2
65534, 197564, 16629.1, 21001.3, 29794, 16517.7, 20978, 18589, 5110, 90649, skewed_2
65534, 197564, 16629.1, 21001.3, 16650, 16349.9, 20855, 17445, 2888, 57754, skewed_2
65534, 197564, 16629.1, 21001.3, 16650, 16349.9, 20855, 17366, 2612, 57049, skewed_2
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 20055, 17907, 743656, skewed_2
65535, 197564, 16629.1, 21001.3, 131331, 16661.7, 21053.2, 19218, 12798, 444223, skewed_2
65535, 197564, 16629.1, 21001.3, 81094, 16647.5, 20996, 19084, 9133, 387538, skewed_2
65534, 197564, 16629.1, 21001.3, 3806, 8989.5, 8992.08, 13239, 100279, 14454, skewed_1
65535, 197564, 16629.1, 21001.3, 188809, 16531.8, 20963, 19532, 16925, 476670, skewed_2
65534, 197564, 16629.1, 21001.3, 42800, 16567.8, 21074.9, 17081, 6622, 257802, skewed_2
65534, 197564, 16629.1, 21001.3, 108226, 16697.2, 21074, 18143, 11943, 634978, skewed_2
65534, 197564, 16629.1, 21001.3, 188, 16587.9, 21364.4, 10029, 8416, 16813, skewed_2
65534, 197564, 16629.1, 21001.3, 48446, 16667.3, 21014.5, 18346, 6094, 272222, skewed_2
65534, 197564, 16629.1, 21001.3, 168, 16403.2, 20545.7, 18939, 7210, 16370, skewed_2
65534, 197564, 16629.1, 21001.3, 378, 16156.3, 20589.2, 14190, 1076, 17264, skewed_2
65535, 197564, 16629.1, 21001.3, 499585, 16626.2, 21049.8, 19807, 42195, 1627321, skewed_1
65534, 197564, 16629.1, 21001.3, 65746, 16751.1, 21147.2, 18566, 7784, 317464, skewed_2
65534, 197564, 16629.1, 21001.3, 255, 16769.4, 21213.7, 15526, 1770, 17023, skewed_2
65534, 197564, 16629.1, 21001.3, 249, 15939.6, 20803.3, 14730, 1419, 16823, skewed_2
65534, 197564, 16629.1, 21001.3, 31577, 16453.5, 20863.5, 18062, 5406, 166076, skewed_2
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 20234, 19150, 735036, skewed_2
65534, 197564, 16629.1, 21001.3, 459, 16771.6, 21221, 15595, 1190, 17475, skewed_2
65535, 197564, 16629.1, 21001.3, 1749744, 16655.9, 21067.6, 20448, 126289, 1928462, skewed_1
65534, 197564, 16629.1, 21001.3, 7747, 16634.6, 21170.1, 16215, 2277, 37014, skewed_2
