range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65518, 9862, 16767.2, 21066, 8, 10747.6, 14854.6, 4070, 1980, 3089, 2040
65518, 9862, 16767.2, 21066, 807, 15941.5, 20680.2, 23510, 970, 45609, 8180
65518, 9862, 16767.2, 21066, 1050, 17967.5, 21673.1, 36679, 7830, 142159, 61799
65518, 9862, 16767.2, 21066, 1845, 15706.7, 19927.6, 162638, 3010, 149158, 15750
65518, 9862, 16767.2, 21066, 2044, 32353.8, 32348.3, 48329, 1000, 59270, 28789
65518, 9862, 16767.2, 21066, 2453, 15861.9, 20222.7, 8500, 6910, 64409, 17610
65518, 9862, 16767.2, 21066, 2889, 16310.1, 20449.8, 9619, 11060, 54230, 20779
65518, 9862, 16767.2, 21066, 429, 17443.7, 19750.4, 19620, 4770, 22289, 5880
65518, 9862, 16767.2, 21066, 2036, 24637.8, 24629.7, 5540, 38239, 26090, 15580
65518, 9862, 16767.2, 21066, 3940, 17760.2, 22056.7, 26059, 6420, 178808, 78329
65518, 9862, 16767.2, 21066, 2576, 10546.2, 10550.6, 5220, 45150, 33490, 17610
65518, 9862, 16767.2, 21066, 2206, 12980, 12974.9, 4800, 32100, 34200, 14580
65518, 9862, 16767.2, 21066, 2, 2803.5, 3937.88, 2500, 1270, 1540, 1900
65518, 9862, 16767.2, 21066, 3837, 17323.1, 21382.2, 19809, 4570, 171068, 31670
65518, 9862, 16767.2, 21066, 1801, 17985, 21933.9, 8940, 4330, 37619, 13130
65518, 9862, 16767.2, 21066, 4, 18401.5, 28149.1, 5560, 1039, 4720, 6450
65518, 9862, 16767.2, 21066, 1459, 16653.1, 20957.1, 7090, 2640, 33609, 11830
65518, 9862, 16767.2, 21066, 2, 16200.5, 22888.3, 4410, 1380, 2860, 3820
65518, 9862, 16767.2, 21066, 8, 20605.2, 22006.6, 4710, 1450, 3840, 2390
65518, 9862, 16767.2, 21066, 1932, 5758.25, 5754.12, 3100, 36179, 30000, 13360
65518, 9862, 16767.2, 21066, 326, 16417, 16439.3, 3950, 7100, 6320, 4190
65518, 9862, 16767.2, 21066, 1086, 14487, 14477.1, 4170, 21040, 14510, 8730
65518, 9862, 16767.2, 21066, 10, 18775.2, 22043.6, 5910, 2930, 4939, 2870
65518, 9862, 16767.2, 21066, 1728, 16381.8, 21717.2, 8410, 5710, 36999, 18940
65518, 9862, 16767.2, 21066, 2588, 17323.2, 21529.6, 25090, 4780, 66170, 32819
65518, 9862, 16767.2, 21066, 875, 15857.8, 21559.8, 18420, 3310, 50139, 9670
65518, 9862, 16767.2, 21066, 106, 14883, 14933.6, 3930, 3180, 3950, 2750
65518, 9862, 16767.2, 21066, 1472, 6912.75, 6899.73, 3420, 27970, 17680, 10419
65518, 9862, 16767.2, 21066, 30, 18332, 18625, 4310, 1790, 3380, 2500
65518, 9862, 16767.2, 21066, 474, 17240.4, 21733.9, 6810, 3410, 22470, 11120
65518, 9862, 16767.2, 21066, 25599, 16146, 21159.3, 29519, 14380, 424526, 159448
65518, 9862, 16767.2, 21066, 8, 15167.2, 16193.1, 3980, 1440, 2940, 2000
65518, 9862, 16767.2, 21066, 18, 21216.7, 25232.1, 17300, 1810, 17440, 20609
65518, 9862, 16767.2, 21066, 1054, 15886.2, 20492.4, 23570, 2610, 28769, 14830
65518, 9862, 16767.2, 21066, 6143, 16768.8, 21147.7, 26170, 6370, 196378, 57300
65518, 9862, 16767.2, 21066, 6143, 16768.8, 21147.7, 26690, 6260, 196328, 43949
65518, 9862, 16767.2, 21066, 6272, 16226, 20793.6, 25760, 6430, 197678, 91689
65518, 9862, 16767.2, 21066, 886, 15372.3, 19820.7, 5880, 2760, 47030, 22069
65518, 9862, 16767.2, 21066, 4657, 16038.5, 20258.9, 27540, 9650, 68839, 51619
65518, 9862, 16767.2, 21066, 390, 29233, 29251.6, 5610, 1030, 8770, 5150
65518, 9862, 16767.2, 21066, 6, 19153, 20959.2, 4650, 1350, 3410, 4570
65518, 9862, 16767.2, 21066, 146, 11107.5, 11139.7, 3800, 3860, 4100, 3240
65518, 9862, 16767.2, 21066, 2964, 17039.6, 21359.4, 9050, 4100, 77209, 34319
65518, 9862, 16767.2, 21066, 489, 17958.6, 22668.1, 6590, 2420, 134579, 5249
65518, 9862, 16767.2, 21066, 3629, 16238, 20784.1, 24130, 3970, 168758, 24310
65518, 9862, 16767.2, 21066, 189, 23413.2, 26156.8, 3100, 4150, 40110, 2710
65518, 9862, 16767.2, 21066, 7132, 16050.6, 20763.7, 27020, 8860, 207428, 95669
65518, 9862, 16767.2, 21066, 134, 14796.6, 20802.6, 5440, 3840, 18680, 9320
65518, 9862, 16767.2, 21066, 1397, 16773.3, 21118.5, 23550, 3070, 56199, 16310
65518, 9862, 16767.2, 21066, 98, 23150.5, 23251.4, 5910, 2560, 5000, 3290
65518, 9862, 16767.2, 21066, 1750, 18571, 18575.2, 5430, 26400, 28270, 12399
65518, 9862, 16767.2, 21066, 19229, 16734.2, 21491.3, 26290, 11460, 353726, 121679
65518, 9862, 16767.2, 21066, 815, 17811.6, 22576.6, 5550, 8670, 26380, 7670
65518, 9862, 16767.2, 21066, 12643, 16861.8, 21310.8, 24730, 10200, 275527, 82029
65518, 9862, 16767.2, 21066, 8, 10507.9, 14571.3, 4810, 1430, 3840, 1680
65518, 9862, 16767.2, 21066, 1782, 15061.5, 19735, 7530, 5250, 157828, 66030
65518, 9862, 16767.2, 21066, 4, 26915.5, 31126.3, 5480, 1300, 4540, 6200
65518, 9862, 16767.2, 21066, 2, 2051, 2882.17, 2410, 1320, 1420, 1790
65518, 9862, 16767.2, 21066, 541, 18893.1, 23253.3, 4980, 4720, 43559, 5460
65518, 9862, 16767.2, 21066, 3127, 16820, 21358.8, 20500, 4830, 173498, 26130
65518, 9862, 16767.2, 21066, 182, 19980.5, 20030.6, 5410, 4600, 5420, 3600
65518, 9862, 16767.2, 21066, 106, 14940.6, 18990.5, 4159, 2700, 19100, 3390
65518, 9862, 16767.2, 21066, 1654, 29590.5, 29588.9, 8180, 1090, 26159, 13040
65518, 9862, 16767.2, 21066, 298, 16411.8, 21928, 16940, 1010, 32389, 10250
65518, 9862, 16767.2, 21066, 1943, 16372.9, 20295.6, 25289, 4580, 45790, 20490
65518, 9862, 16767.2, 21066, 469, 18753.8, 20406.8, 123739, 8050, 136118, 58910
65523, 9862, 16767.2, 21066, 3418, 17894.5, 22021.2, 10160, 9680, 162378, 71610
65518, 9862, 16767.2, 21066, 34, 15564, 15777.8, 4520, 1830, 3390, 2380
65518, 9862, 16767.2, 21066, 36, 12585.6, 13363.8, 3950, 2180, 3340, 2359
65518, 9862, 16767.2, 21066, 98, 12251, 12296.9, 16050, 3100, 3780, 2700
65518, 9862, 16767.2, 21066, 4, 21948.8, 30114, 17190, 990, 17030, 24120
65518, 9862, 16767.2, 21066, 1350, 15995.5, 21062.9, 8420, 4090, 32600, 17280
65518, 9862, 16767.2, 21066, 670, 18529.6, 21968.5, 8190, 4420, 26390, 12760
65527, 9862, 16767.2, 21066, 9677, 16546.4, 20927.6, 45430, 12260, 200057, 65490
65518, 9862, 16767.2, 21066, 11147, 16848.2, 21368.1, 30040, 13230, 278057, 73409
65518, 9862, 16767.2, 21066, 2, 26714, 37770.8, 5390, 1430, 4580, 6070
65518, 9862, 16767.2, 21066, 6, 26170.2, 29038.3, 5550, 1620, 4660, 6410
65518, 9862, 16767.2, 21066, 8, 20409.2, 21797, 4599, 1380, 3620, 2350
65518, 9862, 16767.2, 21066, 8, 19446.2, 20767.5, 4300, 1310, 3360, 2170
65518, 9862, 16767.2, 21066, 1262, 30431.5, 30427.8, 17190, 990, 34970, 15690
65518, 9862, 16767.2, 21066, 8354, 16028.5, 20792.5, 15270, 6550, 221048, 103809
65518, 9862, 16767.2, 21066, 2, 5845, 8253.35, 2790, 1340, 1820, 2350
65518, 9862, 16767.2, 21066, 1712, 6213.75, 6209.02, 4520, 39109, 27090, 11180
65535, 9862, 16767.2, 21066, 30147, 16968.7, 21371.5, 58520, 20639, 379936, 195018
65518, 9862, 16767.2, 21066, 2333, 16999.4, 21118.8, 26110, 7810, 64159, 23230
65518, 9862, 16767.2, 21066, 2, 10518.5, 14858.4, 3180, 1280, 2340, 3030
65518, 9862, 16767.2, 21066, 562, 16388.8, 20812.3, 5750, 2890, 23870, 11790
65518, 9862, 16767.2, 21066, 270, 29399, 29434.6, 6030, 1020, 7479, 4510
65518, 9862, 16767.2, 21066, 544, 29937.8, 29947.3, 10130, 1010, 15000, 7750
65518, 9862, 16767.2, 21066, 4, 3873.25, 7039.68, 3100, 1270, 2020, 2640
65518, 9862, 16767.2, 21066, 1398, 14985.2, 20170.2, 6270, 2740, 32850, 16850
65518, 9862, 16767.2, 21066, 86, 20212.5, 20310.9, 4590, 2930, 4450, 3040
