range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
65518, 9862, 16767.2, 21066, 2889, 16310.1, 20449.8, 13570, 7050, 54379
65518, 9862, 16767.2, 21066, 429, 17443.7, 19750.4, 13630, 6990, 22329
65518, 9862, 16767.2, 21066, 2036, 24637.8, 24629.7, 15150, 362406, 26120
65518, 9862, 16767.2, 21066, 3940, 17760.2, 22056.7, 17310, 8550, 190868
65518, 9862, 16767.2, 21066, 2576, 10546.2, 10550.6, 9310, 631574, 33640
65518, 9862, 16767.2, 21066, 2206, 12980, 12974.9, 11930, 510065, 35249
65518, 9862, 16767.2, 21066, 2, 2803.5, 3937.88, 4120, 1770, 1580
65518, 9862, 16767.2, 21066, 3837, 17323.1, 21382.2, 17330, 8610, 170958
65518, 9862, 16767.2, 21066, 1801, 17985, 21933.9, 7890, 5850, 37689
65518, 9862, 16767.2, 21066, 4, 18401.5, 28149.1, 5030, 2110, 4740
65518, 9862, 16767.2, 21066, 1459, 16653.1, 20957.1, 12610, 4910, 34220
65518, 9862, 16767.2, 21066, 2, 16200.5, 22888.3, 7310, 1730, 2920
65518, 9862, 16767.2, 21066, 8, 20605.2, 22006.6, 9879, 3110, 3920
65518, 9862, 16767.2, 21066, 1932, 5758.25, 5754.12, 9710, 435675, 30060
65518, 9862, 16767.2, 21066, 326, 16417, 16439.3, 10129, 78260, 6459
65518, 9862, 16767.2, 21066, 1086, 14487, 14477.1, 13990, 118589, 14559
65518, 9862, 16767.2, 21066, 10, 18775.2, 22043.6, 10140, 3990, 4930
65518, 9862, 16767.2, 21066, 1728, 16381.8, 21717.2, 24320, 6550, 36710
65518, 9862, 16767.2, 21066, 2588, 17323.2, 21529.6, 15600, 8150, 66209
65518, 9862, 16767.2, 21066, 875, 15857.8, 21559.8, 10930, 2930, 50249
65518, 9862, 16767.2, 21066, 106, 14883, 14933.6, 9550, 16129, 4040
65518, 9862, 16767.2, 21066, 1472, 6912.75, 6899.73, 6580, 158828, 17760
65518, 9862, 16767.2, 21066, 30, 18332, 18625, 8919, 7930, 3560
65518, 9862, 16767.2, 21066, 474, 17240.4, 21733.9, 4740, 2970, 22629
65518, 9862, 16767.2, 21066, 25599, 16146, 21159.3, 12710, 9960, 422765
65518, 9862, 16767.2, 21066, 8, 15167.2, 16193.1, 7520, 3120, 3010
65518, 9862, 16767.2, 21066, 18, 21216.7, 25232.1, 340547, 5660, 17460
65518, 9862, 16767.2, 21066, 1054, 15886.2, 20492.4, 14900, 5670, 28840
65518, 9862, 16767.2, 21066, 6143, 16768.8, 21147.7, 6270, 8190, 209298
65518, 9862, 16767.2, 21066, 6143, 16768.8, 21147.7, 6300, 8180, 196308
65518, 9862, 16767.2, 21066, 6272, 16226, 20793.6, 11730, 8240, 197648
65518, 9862, 16767.2, 21066, 886, 15372.3, 19820.7, 12740, 2730, 47229
65518, 9862, 16767.2, 21066, 4657, 16038.5, 20258.9, 16350, 9049, 68980
65518, 9862, 16767.2, 21066, 390, 29233, 29251.6, 14370, 46019, 26170
65518, 9862, 16767.2, 21066, 6, 19153, 20959.2, 9080, 2910, 3459
65518, 9862, 16767.2, 21066, 146, 11107.5, 11139.7, 8830, 36100, 4170
65518, 9862, 16767.2, 21066, 2964, 17039.6, 21359.4, 12450, 6640, 77309
65518, 9862, 16767.2, 21066, 489, 17958.6, 22668.1, 6960, 5489, 134649
65518, 9862, 16767.2, 21066, 3629, 16238, 20784.1, 16169, 5760, 168719
65518, 9862, 16767.2, 21066, 189, 23413.2, 26156.8, 4710, 5000, 40180
65518, 9862, 16767.2, 21066, 7132, 16050.6, 20763.7, 13790, 7420, 219878
65518, 9862, 16767.2, 21066, 134, 14796.6, 20802.6, 7600, 29940, 18770
65518, 9862, 16767.2, 21066, 1397, 16773.3, 21118.5, 13680, 6800, 55489
65518, 9862, 16767.2, 21066, 98, 23150.5, 23251.4, 12220, 15250, 5069
65518, 9862, 16767.2, 21066, 1750, 18571, 18575.2, 16320, 421796, 28450
65518, 9862, 16767.2, 21066, 19229, 16734.2, 21491.3, 31229, 9660, 342217
65518, 9862, 16767.2, 21066, 815, 17811.6, 22576.6, 9530, 1920, 26610
65518, 9862, 16767.2, 21066, 12643, 16861.8, 21310.8, 12680, 12010, 275277
65518, 9862, 16767.2, 21066, 8, 10507.9, 14571.3, 5380, 3180, 3940
65518, 9862, 16767.2, 21066, 1782, 15061.5, 19735, 16970, 5540, 161098
65518, 9862, 16767.2, 21066, 4, 26915.5, 31126.3, 11420, 2060, 4650
65518, 9862, 16767.2, 21066, 2, 2051, 2882.17, 3950, 1770, 1530
65518, 9862, 16767.2, 21066, 541, 18893.1, 23253.3, 9260, 5700, 43710
65518, 9862, 16767.2, 21066, 3127, 16820, 21358.8, 12009, 5900, 173639
65518, 9862, 16767.2, 21066, 182, 19980.5, 20030.6, 10760, 43570, 5540
65518, 9862, 16767.2, 21066, 106, 14940.6, 18990.5, 9690, 16330, 18799
65518, 9862, 16767.2, 21066, 1654, 29590.5, 29588.9, 351606, 343007, 26310
65518, 9862, 16767.2, 21066, 298, 16411.8, 21928, 9520, 72799, 20370
65518, 9862, 16767.2, 21066, 1943, 16372.9, 20295.6, 12279, 6800, 45510
65518, 9862, 16767.2, 21066, 469, 18753.8, 20406.8, 10470, 8530, 136489
65523, 9862, 16767.2, 21066, 3418, 17894.5, 22021.2, 15120, 8400, 162068
65518, 9862, 16767.2, 21066, 34, 15564, 15777.8, 8380, 8580, 3260
65518, 9862, 16767.2, 21066, 36, 12585.6, 13363.8, 8230, 10560, 3450
65518, 9862, 16767.2, 21066, 98, 12251, 12296.9, 9080, 15160, 3820
65518, 9862, 16767.2, 21066, 4, 21948.8, 30114, 7060, 2150, 17099
65518, 9862, 16767.2, 21066, 1350, 15995.5, 21062.9, 12070, 283427, 32469
65518, 9862, 16767.2, 21066, 670, 18529.6, 21968.5, 12250, 6440, 26860
65527, 9862, 16767.2, 21066, 9677, 16546.4, 20927.6, 13160, 8890, 199968
65518, 9862, 16767.2, 21066, 11147, 16848.2, 21368.1, 14640, 8990, 253357
65518, 9862, 16767.2, 21066, 2, 26714, 37770.8, 11210, 1710, 4500
65518, 9862, 16767.2, 21066, 6, 26170.2, 29038.3, 12010, 3120, 4760
65518, 9862, 16767.2, 21066, 8, 20409.2, 21797, 9170, 3050, 3700
65518, 9862, 16767.2, 21066, 8, 19446.2, 20767.5, 8640, 3130, 3430
65518, 9862, 16767.2, 21066, 1262, 30431.5, 30427.8, 352947, 208028, 35240
65518, 9862, 16767.2, 21066, 8354, 16028.5, 20792.5, 14139, 8200, 220928
65518, 9862, 16767.2, 21066, 2, 5845, 8253.35, 4839, 1800, 1900
65518, 9862, 16767.2, 21066, 1712, 6213.75, 6209.02, 8550, 402906, 25359
65535, 9862, 16767.2, 21066, 30147, 16968.7, 21371.5, 19040, 12640, 375246
65518, 9862, 16767.2, 21066, 2333, 16999.4, 21118.8, 11710, 8550, 63739
65518, 9862, 16767.2, 21066, 2, 10518.5, 14858.4, 5890, 1690, 2370
65518, 9862, 16767.2, 21066, 562, 16388.8, 20812.3, 10180, 71729, 23660
65518, 9862, 16767.2, 21066, 270, 29399, 29434.6, 14469, 32860, 7550
65518, 9862, 16767.2, 21066, 544, 29937.8, 29947.3, 337816, 62609, 15170
65518, 9862, 16767.2, 21066, 4, 3873.25, 7039.68, 2880, 2020, 2090
65518, 9862, 16767.2, 21066, 1398, 14985.2, 20170.2, 9280, 270397, 32960
65518, 9862, 16767.2, 21066, 86, 20212.5, 20310.9, 10479, 14050, 4560
65518, 9862, 16767.2, 21066, 4, 20078, 25965.7, 11250, 2070, 4649
65518, 9862, 16767.2, 21066, 4, 21096.2, 24358.7, 9850, 1830, 3830
65526, 9862, 16767.2, 21066, 19410, 16988.2, 21386.8, 21320, 8930, 257817
65518, 9862, 16767.2, 21066, 4030, 17828.8, 22186.6, 8860, 8130, 82129
65518, 9862, 16767.2, 21066, 2, 17249, 24388.1, 7610, 1710, 3020
65518, 9862, 16767.2, 21066, 455, 17117, 20721.1, 9950, 3850, 23139
65518, 9862, 16767.2, 21066, 6, 17049.8, 24063.3, 349416, 3040, 17370
65518, 9862, 16767.2, 21066, 504, 3075.75, 3059.22, 5530, 56239, 7010
65518, 9862, 16767.2, 21066, 110, 15032.6, 3642.58, 18159, 5730, 3690
65518, 9862, 16767.2, 21066, 1166, 16741.4, 21458.7, 339726, 3850, 151749
65518, 9862, 16767.2, 21066, 390, 5602, 5589.31, 7130, 45150, 6119
65518, 9862, 16767.2, 21066, 24, 5946.25, 6293.57, 6170, 6370, 2650
65518, 9862, 16767.2, 21066, 165, 14001, 47.7755, 13700, 8140, 4330
65518, 9862, 16767.2, 21066, 3992, 16090.9, 20735.3, 13310, 7019, 173649
65518, 9862, 16767.2, 21066, 2575, 16502.5, 20976.4, 10800, 8080, 166578
65518, 9862, 16767.2, 21066, 3958, 16305.2, 20651.8, 17130, 5360, 80959
65518, 9862, 16767.2, 21066, 432, 18756.2, 23198.4, 7420, 4060, 43080
65518, 9862, 16767.2, 21066, 31681, 16660.7, 21263.9, 16140, 10790, 578554
65518, 9862, 16767.2, 21066, 2, 27339, 38653.3, 11440, 1750, 4510
65518, 9862, 16767.2, 21066, 469, 18753.8, 20406.8, 10680, 8469, 136159
65532, 9862, 16767.2, 21066, 39922, 16512.5, 20898.2, 20910, 13100, 289567
65518, 9862, 16767.2, 21066, 8, 16004.4, 21259.9, 7660, 3280, 4610
65535, 9862, 16767.2, 21066, 13055, 16234.4, 20680.4, 12640, 9220, 174739
