range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
29561, 2, 14787.5, 20902.8, 2, 14787.5, 20902.8, 518, 53, 163
57663, 2, 14787.5, 20902.8, 2, 28842, 40768.9, 91, 83, 93
64162, 2, 14787.5, 20902.8, 24, 19620.2, 23150.6, 149, 490, 104
65080, 2, 14787.5, 20902.8, 546, 16033.7, 20633.6, 184, 2799, 79
29561, 2, 14787.5, 20902.8, 6, 6690.67, 8233.69, 95, 109, 89
29561, 2, 14787.5, 20902.8, 2, 13220, 18625.2, 83, 72, 52
34234, 2, 14787.5, 20902.8, 2, 17350.5, 23886.8, 63, 56, 48
32444, 2, 14787.5, 20902.8, 6, 16126.5, 17137.1, 107, 151, 39
29561, 2, 14787.5, 20902.8, 2, 5145, 6564.78, 63, 65, 47
48398, 2, 14787.5, 20902.8, 16, 16887.1, 19752.2, 96, 166, 46
35133, 2, 14787.5, 20902.8, 2, 17820, 24494.2, 75, 59, 41
65107, 2, 14787.5, 20902.8, 113, 17563.8, 21861.6, 185, 159, 51
63930, 2, 14787.5, 20902.8, 152, 16258.9, 20920, 131, 977, 55
49672, 2, 14787.5, 20902.8, 12, 17649.3, 20283.5, 90, 144, 49
61007, 2, 14787.5, 20902.8, 2, 30554, 43076.9, 44, 67, 39
60876, 2, 14787.5, 20902.8, 12, 16798.9, 22341.3, 91, 174, 74
65164, 2, 14787.5, 20902.8, 24, 21626.3, 25527.8, 99, 192, 39
55302, 2, 14787.5, 20902.8, 2, 27904.5, 38755.8, 44, 51, 40
29561, 2, 14787.5, 20902.8, 2, 10994, 15482.8, 68, 61, 61
29561, 2, 14787.5, 20902.8, 6, 3367.17, 3711.98, 72, 113, 78
64919, 2, 14787.5, 20902.8, 4, 26436.5, 31950.3, 70, 66, 40
65320, 2, 14787.5, 20902.8, 151, 16865.7, 21283.8, 146, 224, 74
29561, 2, 14787.5, 20902.8, 4, 4330, 7037.48, 60, 85, 74
40268, 2, 14787.5, 20902.8, 6, 14623.3, 16967.9, 56, 143, 40
62090, 2, 14787.5, 20902.8, 24, 17164.2, 19884.5, 87, 224, 88
40196, 2, 14787.5, 20902.8, 2, 20307.5, 28136.5, 65, 51, 39
54985, 2, 14787.5, 20902.8, 2, 27614.5, 38717.6, 43, 58, 39
29561, 2, 14787.5, 20902.8, 2, 2555.5, 3544.73, 53, 67, 53
60122, 2, 14787.5, 20902.8, 6, 29781, 32094.5, 86, 65, 39
65500, 2, 14787.5, 20902.8, 5506, 16259.4, 20751.4, 224, 26992, 65
61916, 2, 14787.5, 20902.8, 16, 28133.2, 29567.1, 79, 124, 39
29561, 2, 14787.5, 20902.8, 2, 9807.5, 13287.2, 43, 69, 55
36507, 2, 14787.5, 20902.8, 20, 14666.3, 17260.4, 88, 177, 39
29561, 2, 14787.5, 20902.8, 2, 10345.5, 14380.4, 45, 68, 54
64608, 2, 14787.5, 20902.8, 78, 17313.6, 21855.6, 155, 463, 41
29561, 2, 14787.5, 20902.8, 6, 2772.33, 2488.12, 59, 78, 69
29561, 2, 14787.5, 20902.8, 2, 6064, 7973.34, 51, 51, 49
65391, 2, 14787.5, 20902.8, 152, 16850.7, 21358.8, 116, 962, 48
29561, 2, 14787.5, 20902.8, 8, 7335.62, 8131.64, 66, 107, 58
29561, 2, 14787.5, 20902.8, 2, 5922.5, 8312.04, 42, 59, 57
65043, 2, 14787.5, 20902.8, 14, 25785.1, 28563.6, 93, 117, 57
65134, 2, 14787.5, 20902.8, 152, 16868, 21350, 136, 806, 79
40641, 2, 14787.5, 20902.8, 4, 19747.2, 22265.3, 71, 71, 49
29561, 2, 14787.5, 20902.8, 2, 3683.5, 4562.96, 44, 59, 49
59441, 2, 14787.5, 20902.8, 6, 20846.8, 29957.4, 88, 117, 60
59702, 2, 14787.5, 20902.8, 6, 20742.8, 24431.1, 83, 76, 49
65378, 2, 14787.5, 20902.8, 176, 16993.8, 21924.9, 95, 1000, 48
44352, 2, 14787.5, 20902.8, 4, 14505.8, 20898, 71, 82, 53
64891, 2, 14787.5, 20902.8, 152, 16458, 21105.8, 114, 842, 61
52186, 2, 14787.5, 20902.8, 4, 26346.8, 29842.9, 81, 64, 46
65527, 2, 14787.5, 20902.8, 1237, 16806.5, 21365.3, 184, 153, 52
29561, 2, 14787.5, 20902.8, 2, 3830.5, 5354.92, 56, 59, 48
64041, 2, 14787.5, 20902.8, 20, 29101.1, 30111.2, 114, 168, 48
29561, 2, 14787.5, 20902.8, 2, 9782.5, 13823.2, 57, 52, 48
60690, 2, 14787.5, 20902.8, 2, 30407.5, 42835.8, 53, 67, 49
63488, 2, 14787.5, 20902.8, 2, 31997.5, 44544.2, 44, 68, 49
59738, 2, 14787.5, 20902.8, 2, 29905.5, 42199.4, 44, 70, 54
61136, 2, 14787.5, 20902.8, 40, 15270, 20902.8, 113, 309, 40
38931, 2, 14787.5, 20902.8, 2, 19492, 27500.8, 43, 68, 39
35979, 2, 14787.5, 20902.8, 2, 18205, 25146.1, 44, 43, 40
39125, 2, 14787.5, 20902.8, 2, 19588, 27639.4, 43, 43, 40
45039, 2, 14787.5, 20902.8, 8, 12914.9, 18821.9, 78, 179, 84
29561, 2, 14787.5, 20902.8, 2, 5549, 7133.29, 55, 51, 53
