range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
44527,2,14787.5,20902.8,14,22447.1,22772.7,21,20,19,20,non_skewed
29561,2,14787.5,20902.8,2,2944.5,3574.42,43,21,19,20,non_skewed
49155,2,14787.5,20902.8,2,24603,34731.7,28,20,18,21,non_skewed
51200,2,14787.5,20902.8,2,25876,35823.4,20,21,19,20,non_skewed
48222,2,14787.5,20902.8,2,24116,34098.1,36,21,20,19,vector
62810,2,14787.5,20902.8,12,23992.4,28915.4,21,20,19,20,non_skewed
65016,2,14787.5,20902.8,4,28117.5,33202.7,20,20,18,21,non_skewed
40898,2,14787.5,20902.8,4,13613.8,19078.7,46,21,19,20,non_skewed
52790,2,14787.5,20902.8,8,26138.8,27441.4,20,21,19,20,non_skewed
63502,2,14787.5,20902.8,8,16757.4,26418.2,51,66,51,52,skewed_1
63211,2,14787.5,20902.8,10,28085,29750.7,21,20,19,19,non_skewed
39065,2,14787.5,20902.8,4,18266.5,21143.2,20,22,19,21,non_skewed
53379,2,14787.5,20902.8,2,26942,37397.5,21,20,19,21,non_skewed
47679,2,14787.5,20902.8,10,11037.3,15604.5,35,22,21,28,non_skewed
64992,2,14787.5,20902.8,134,18069.7,23894.1,59,38,40,37,vector
47899,2,14787.5,20902.8,2,24203,33521.1,27,21,19,20,non_skewed
62342,2,14787.5,20902.8,165,15772.3,19433.2,47,41,34,27,vector
29561,2,14787.5,20902.8,10,6738.3,7863.47,59,41,45,31,vector
62550,2,14787.5,20902.8,14,27301,28592.5,29,19,19,19,skewed_2
29561,2,14787.5,20902.8,4,4814.75,5706.13,34,32,19,29,non_skewed
48186,2,14787.5,20902.8,8,20265.6,21537.7,35,30,20,31,non_skewed
62355,2,14787.5,20902.8,98,19656.7,22936.5,39,38,20,20,non_skewed
29561,2,14787.5,20902.8,2,9608,13524.1,34,20,19,20,non_skewed
29561,2,14787.5,20902.8,10,11839.2,12585.9,35,32,22,51,non_skewed
57470,2,14787.5,20902.8,8,15565,25981.7,75,55,47,41,vector
45642,2,14787.5,20902.8,2,22850,32242.7,28,20,19,21,non_skewed
29561,2,14787.5,20902.8,2,5142.5,6562.66,28,20,19,20,non_skewed
62207,2,14787.5,20902.8,100,16712,23130,32,21,27,28,skewed_2
29561,2,14787.5,20902.8,2,12095,17035.6,27,19,18,21,non_skewed
47003,2,14787.5,20902.8,2,23631,33062.9,28,20,19,21,non_skewed
29561,2,14787.5,20902.8,2,9323.5,12471.2,21,19,19,20,skewed_2
60794,2,14787.5,20902.8,2,30421.5,42963.1,29,21,19,20,non_skewed
38472,2,14787.5,20902.8,2,19431,26937.9,29,20,19,19,non_skewed
64985,2,14787.5,20902.8,8,18478.4,24503.9,30,20,18,20,non_skewed
60687,2,14787.5,20902.8,110,19275.3,23652.8,32,20,18,26,non_skewed
44151,2,14787.5,20902.8,2,22124,31160.8,36,21,19,21,non_skewed
53460,2,14787.5,20902.8,8,23647.2,26339.2,21,20,19,20,non_skewed
56160,2,14787.5,20902.8,8,11160.8,19451.1,20,21,19,21,non_skewed
29561,2,14787.5,20902.8,2,5764,7437.35,32,21,19,20,non_skewed
42942,2,14787.5,20902.8,2,21726.5,30013.1,33,20,20,21,skewed_2
56639,2,14787.5,20902.8,2,28348.5,40018.7,35,31,19,20,non_skewed
29561,2,14787.5,20902.8,2,9225.5,12981.8,31,21,18,20,non_skewed
65521,2,14787.5,20902.8,58,11433.4,20328.5,28,20,19,20,non_skewed
55177,2,14787.5,20902.8,12,15224.9,19409.6,62,32,35,31,vector
29561,2,14787.5,20902.8,6,11455.7,12981.6,49,28,27,29,non_skewed
47322,2,14787.5,20902.8,4,17728.5,22310.9,45,22,19,21,non_skewed
59912,2,14787.5,20902.8,2,30076,42204.4,20,21,18,20,non_skewed
29561,2,14787.5,20902.8,12,4284.08,7633.48,38,36,45,47,skewed_2
45631,2,14787.5,20902.8,2,23070.5,31915.3,20,21,18,20,non_skewed
29561,2,14787.5,20902.8,2,11169,15091.1,31,21,18,20,non_skewed
64792,2,14787.5,20902.8,4,19400.5,30742,19,20,19,21,skewed_1
50510,2,14787.5,20902.8,2,25283,35686.3,20,21,19,20,non_skewed
39457,2,14787.5,20902.8,14,15793.9,16792.2,21,21,19,20,non_skewed
58030,2,14787.5,20902.8,12,10727.4,16555.2,38,34,28,23,vector
35946,2,14787.5,20902.8,2,18002,25386.5,20,21,19,20,non_skewed
65031,2,14787.5,20902.8,152,16837.6,21376.7,30,20,19,21,non_skewed
64252,2,14787.5,20902.8,44,19488.9,21954,21,21,18,20,non_skewed
61611,2,14787.5,20902.8,4,21605.8,28896.5,21,21,20,20,non_skewed
52273,2,14787.5,20902.8,2,26162.5,36935.7,20,21,19,20,non_skewed
37317,2,14787.5,20902.8,6,17975.8,19254.2,21,20,19,21,non_skewed
37648,2,14787.5,20902.8,6,16708.5,18844.5,40,21,20,21,non_skewed
29561,2,14787.5,20902.8,2,13076.5,17785.9,37,20,18,20,non_skewed
60478,2,14787.5,20902.8,2,30265,42737.5,20,20,19,19,non_skewed
29561,2,14787.5,20902.8,2,11492,16051.3,36,20,20,20,skewed_2
47263,2,14787.5,20902.8,2,23885.5,33070.7,20,21,20,20,skewed_1
52526,2,14787.5,20902.8,6,22924.2,25330.5,28,20,19,20,non_skewed
37590,2,14787.5,20902.8,2,18895,26448.6,20,20,18,20,non_skewed
29561,2,14787.5,20902.8,2,2441,2743.57,31,21,19,25,non_skewed
64485,2,14787.5,20902.8,8,29795.9,31827.7,32,31,19,20,non_skewed
48542,2,14787.5,20902.8,2,24489,34026,36,21,20,20,non_skewed
29561,2,14787.5,20902.8,2,9953,13361.5,31,21,19,21,non_skewed
50927,2,14787.5,20902.8,2,25491,35981.8,20,20,20,20,skewed_1
63967,2,14787.5,20902.8,4,18818,30559.9,44,28,19,20,non_skewed
64341,2,14787.5,20902.8,152,16124,20846.9,81,44,35,39,non_skewed
29561,2,14787.5,20902.8,2,12642,17164.3,31,21,18,20,non_skewed
62983,2,14787.5,20902.8,26,11665.5,15742.8,45,28,19,21,non_skewed
53618,2,14787.5,20902.8,2,26905,37787.8,37,20,27,20,skewed_2
52106,2,14787.5,20902.8,2,26260.5,36561,23,20,20,21,skewed_2
36546,2,14787.5,20902.8,2,18324,25779.7,21,21,19,20,non_skewed
65194,2,14787.5,20902.8,152,16976.6,21472.8,37,26,20,20,non_skewed
29561,2,14787.5,20902.8,6,14826.3,16002.6,42,22,21,27,non_skewed
57896,2,14787.5,20902.8,2,29058,40793,20,20,19,21,non_skewed
31598,2,14787.5,20902.8,2,16007,22058.9,21,21,19,21,non_skewed
57444,2,14787.5,20902.8,2,28750.5,40588.6,21,21,19,20,non_skewed
61478,2,14787.5,20902.8,8,20060.1,27492.4,22,21,18,20,non_skewed
65305,2,14787.5,20902.8,24,12957.8,19551.8,56,24,23,22,vector
29561,2,14787.5,20902.8,4,8799.25,9579.68,43,22,26,29,skewed_2
64881,2,14787.5,20902.8,4,27471.8,32460.8,22,20,19,21,non_skewed
54739,2,14787.5,20902.8,4,27397.2,31577.9,20,21,20,20,skewed_1
29561,2,14787.5,20902.8,6,9969.83,10880.1,38,21,21,21,skewed_2
50420,2,14787.5,20902.8,40,17552.9,20499.8,31,32,19,30,non_skewed
39965,2,14787.5,20902.8,2,20015.5,28222.8,22,32,19,20,non_skewed
29561,2,14787.5,20902.8,2,2851,3378.56,38,20,19,21,non_skewed
38077,2,14787.5,20902.8,8,8262.62,13012.3,57,29,21,22,non_skewed
45023,2,14787.5,20902.8,6,12236.5,17270.3,43,23,20,22,non_skewed
29561,2,14787.5,20902.8,2,14165.5,19962.3,37,21,19,20,non_skewed
38328,2,14787.5,20902.8,2,19377.5,26810,29,21,19,21,non_skewed
63838,2,14787.5,20902.8,152,16012.1,20728.7,31,22,19,20,non_skewed
64751,2,14787.5,20902.8,2,32376.5,45785.9,31,20,20,20,skewed_2
47600,2,14787.5,20902.8,6,14098.5,19735.4,36,22,20,22,non_skewed
64049,2,14787.5,20902.8,20,22542.8,25655.5,31,20,19,21,non_skewed
29561,2,14787.5,20902.8,6,11653,12718.1,48,23,19,22,non_skewed
42530,2,14787.5,20902.8,14,12512.6,14813.5,53,25,21,22,non_skewed
62081,2,14787.5,20902.8,90,13617.4,18471.3,60,52,57,49,vector
39613,2,14787.5,20902.8,2,19832,27984.5,29,19,20,26,skewed_2
61370,2,14787.5,20902.8,30,21393.6,24936.9,32,20,19,20,non_skewed
29561,2,14787.5,20902.8,6,9700.33,11521.6,38,21,20,22,non_skewed
64949,2,14787.5,20902.8,10,23822.6,27136.9,31,21,20,20,non_skewed
29561,2,14787.5,20902.8,4,3886,4430.59,37,22,27,21,vector
61320,2,14787.5,20902.8,14,19564.8,24003.2,31,29,20,21,non_skewed
63820,2,14787.5,20902.8,34,17551.3,20669.4,38,19,19,20,skewed_2
65018,2,14787.5,20902.8,152,16461.5,21107,73,37,29,34,non_skewed
29561,2,14787.5,20902.8,2,2927,3425.23,39,21,19,19,non_skewed
37560,2,14787.5,20902.8,4,12570.8,17508.5,36,29,20,21,non_skewed
43494,2,14787.5,20902.8,2,21962,30460.7,32,33,19,20,non_skewed
60778,2,14787.5,20902.8,2,30418,42945.4,29,21,19,20,non_skewed
60564,2,14787.5,20902.8,14,16238.6,23123.4,32,21,20,21,non_skewed
48730,2,14787.5,20902.8,40,3758.12,8161.72,32,21,19,20,non_skewed
49762,2,14787.5,20902.8,4,24245,27455.1,35,20,20,30,skewed_2
64120,2,14787.5,20902.8,8,18507.9,22993.2,35,21,20,20,non_skewed
65458,2,14787.5,20902.8,30,18407.3,24807.7,21,21,19,20,non_skewed
57663,2,28842,40768.9,2,14787.5,20902.8,60,43,33,42,non_skewed
57656,2,28842,40768.9,2,28842,40768.9,56,49,54,48,vector
64156,2,28842,40768.9,24,19620.2,23150.6,54,59,50,40,vector
65080,2,28842,40768.9,546,16033.7,20633.6,37,31,29,36,non_skewed
57656,2,28842,40768.9,6,6690.67,8233.69,39,34,34,23,vector
57656,2,28842,40768.9,2,13220,18625.2,53,20,19,20,non_skewed
57656,2,28842,40768.9,2,17350.5,23886.8,39,20,21,20,skewed_2
57656,2,28842,40768.9,6,16126.5,17137.1,37,21,21,22,skewed_2
57656,2,28842,40768.9,2,5145,6564.78,27,20,20,21,skewed_2
57656,2,28842,40768.9,16,16887.1,19752.2,22,32,59,34,skewed_1
57656,2,28842,40768.9,2,17820,24494.2,26,19,19,20,skewed_2
65107,2,28842,40768.9,113,17563.8,21861.6,44,41,41,41,skewed_2
63930,2,28842,40768.9,152,16258.9,20920,41,21,29,21,skewed_2
57656,2,28842,40768.9,12,17649.3,20283.5,28,32,39,45,skewed_1
61000,2,28842,40768.9,2,30554,43076.9,28,20,29,21,skewed_2
60869,2,28842,40768.9,12,16798.9,22341.3,33,22,19,21,non_skewed
65157,2,28842,40768.9,24,21626.3,25527.8,46,42,51,42,skewed_2
57656,2,28842,40768.9,2,27904.5,38755.8,28,20,19,21,non_skewed
57656,2,28842,40768.9,2,10994,15482.8,26,19,20,21,skewed_2
57656,2,28842,40768.9,6,3367.17,3711.98,28,21,20,22,non_skewed
64912,2,28842,40768.9,4,26436.5,31950.3,34,21,20,21,non_skewed
65320,2,28842,40768.9,151,16865.7,21283.8,50,32,29,30,non_skewed
57656,2,28842,40768.9,4,4330,7037.48,27,21,21,21,skewed_2
57656,2,28842,40768.9,6,14623.3,16967.9,28,22,20,22,non_skewed
62083,2,28842,40768.9,24,17164.2,19884.5,31,39,36,50,skewed_1
57656,2,28842,40768.9,2,20307.5,28136.5,26,20,19,20,non_skewed
57656,2,28842,40768.9,2,27614.5,38717.6,26,21,20,21,non_skewed
57656,2,28842,40768.9,2,2555.5,3544.73,28,21,19,20,non_skewed
60115,2,28842,40768.9,6,29781,32094.5,31,21,29,20,vector
65500,2,28842,40768.9,5506,16259.4,20751.4,46,36,32,35,non_skewed
61909,2,28842,40768.9,16,28133.2,29567.1,30,21,26,19,vector
57656,2,28842,40768.9,2,9807.5,13287.2,27,20,19,20,non_skewed
57656,2,28842,40768.9,20,14666.3,17260.4,34,40,38,37,skewed_1
57656,2,28842,40768.9,2,10345.5,14380.4,26,20,19,20,non_skewed
64601,2,28842,40768.9,78,17313.6,21855.6,31,20,21,20,skewed_2
57656,2,28842,40768.9,6,2772.33,2488.12,27,23,20,31,non_skewed
57656,2,28842,40768.9,2,6064,7973.34,27,21,19,21,non_skewed
65391,2,28842,40768.9,152,16850.7,21358.8,46,41,43,45,skewed_2
57656,2,28842,40768.9,8,7335.62,8131.64,28,35,32,30,skewed_1
57656,2,28842,40768.9,2,5922.5,8312.04,27,21,21,20,vector
65036,2,28842,40768.9,14,25785.1,28563.6,31,20,19,20,non_skewed
65134,2,28842,40768.9,152,16868,21350,36,43,47,47,skewed_1
57656,2,28842,40768.9,4,19747.2,22265.3,29,21,21,20,vector
57656,2,28842,40768.9,2,3683.5,4562.96,26,21,20,19,vector
59434,2,28842,40768.9,6,20846.8,29957.4,34,20,19,21,non_skewed
59695,2,28842,40768.9,6,20742.8,24431.1,28,20,18,19,non_skewed
65371,2,28842,40768.9,176,16993.8,21924.9,73,51,48,50,non_skewed
57656,2,28842,40768.9,4,14505.8,20898,27,21,20,21,non_skewed
64891,2,28842,40768.9,152,16458,21105.8,43,30,39,39,skewed_2
57656,2,28842,40768.9,4,26346.8,29842.9,27,21,19,19,non_skewed
65527,2,28842,40768.9,1237,16806.5,21365.3,39,35,32,34,non_skewed
57656,2,28842,40768.9,2,3830.5,5354.92,26,21,20,20,non_skewed
64034,2,28842,40768.9,20,29101.1,30111.2,31,21,21,20,vector
57662,2,28842,40768.9,2,9782.5,13823.2,40,36,34,40,non_skewed
60683,2,28842,40768.9,2,30407.5,42835.8,30,20,19,20,non_skewed
63481,2,28842,40768.9,2,31997.5,44544.2,30,21,19,21,non_skewed
59731,2,28842,40768.9,2,29905.5,42199.4,20,20,20,20,skewed_1
61129,2,28842,40768.9,40,15270,20902.8,76,30,32,36,skewed_2
57656,2,28842,40768.9,2,19492,27500.8,28,20,21,20,skewed_2
57656,2,28842,40768.9,2,18205,25146.1,20,20,19,19,non_skewed
57656,2,28842,40768.9,2,19588,27639.4,23,22,20,20,non_skewed
57663,2,28842,40768.9,8,12914.9,18821.9,49,43,49,39,vector
57656,2,28842,40768.9,2,5549,7133.29,21,20,20,20,skewed_2
62782,2,28842,40768.9,6,17817.3,26549.4,35,21,19,21,non_skewed
57656,2,28842,40768.9,2,8853,12329.1,21,21,20,21,non_skewed
62463,2,28842,40768.9,2,31323.5,44057.7,32,21,19,21,non_skewed
57656,2,28842,40768.9,2,7066,9281.48,21,21,19,20,non_skewed
59056,2,28842,40768.9,2,29787,41412.4,28,21,20,19,vector
63297,2,28842,40768.9,50,15844.4,22184.6,42,50,52,53,skewed_1
59916,2,28842,40768.9,32,20159.9,24427.6,36,22,21,29,non_skewed
64767,2,28842,40768.9,152,16707.6,21274,37,21,29,27,skewed_2
65145,2,28842,40768.9,152,16926.5,21472.9,38,20,28,21,skewed_2
57664,2,28842,40768.9,10,7328.3,10251.9,44,32,31,24,vector
57656,2,28842,40768.9,2,28627,40145.3,28,20,19,21,non_skewed
58280,2,28842,40768.9,52,13583.5,18181.2,41,51,50,51,skewed_1
65444,2,28842,40768.9,376,15393.5,20841.6,82,46,53,58,skewed_2
57656,2,28842,40768.9,2,19715.5,27819.7,28,21,21,21,skewed_2
57656,2,28842,40768.9,2,25992.5,36691.1,26,21,19,21,non_skewed
64016,2,28842,40768.9,48,19538.6,24859.6,37,23,21,30,non_skewed
57656,2,28842,40768.9,14,22447.1,22772.7,29,31,37,45,skewed_1
57656,2,28842,40768.9,2,2944.5,3574.42,26,20,19,20,non_skewed
57656,2,28842,40768.9,2,24603,34731.7,26,20,19,20,non_skewed
57656,2,28842,40768.9,2,25876,35823.4,21,20,18,21,non_skewed
57665,2,28842,40768.9,2,24116,34098.1,32,33,19,27,non_skewed
62803,2,28842,40768.9,12,23992.4,28915.4,39,25,21,30,non_skewed
65009,2,28842,40768.9,4,28117.5,33202.7,34,21,21,21,skewed_2
57656,2,28842,40768.9,4,13613.8,19078.7,26,22,20,20,non_skewed
57656,2,28842,40768.9,8,26138.8,27441.4,32,32,27,29,non_skewed
63502,2,28842,40768.9,8,16757.4,26418.2,38,32,19,19,non_skewed
63204,2,28842,40768.9,10,28085,29750.7,30,20,19,19,non_skewed
57656,2,28842,40768.9,4,18266.5,21143.2,26,22,20,21,non_skewed
57656,2,28842,40768.9,2,26942,37397.5,28,20,20,21,skewed_2
57656,2,28842,40768.9,10,11037.3,15604.5,33,30,28,33,non_skewed
64985,2,28842,40768.9,134,18069.7,23894.1,35,24,19,32,non_skewed
57656,2,28842,40768.9,2,24203,33521.1,26,20,19,21,non_skewed
62342,2,28842,40768.9,165,15772.3,19433.2,37,48,52,50,skewed_1
57656,2,28842,40768.9,10,6738.3,7863.47,29,26,29,23,vector
62543,2,28842,40768.9,14,27301,28592.5,35,23,21,28,non_skewed
57656,2,28842,40768.9,4,4814.75,5706.13,27,21,18,21,non_skewed
57656,2,28842,40768.9,8,20265.6,21537.7,32,31,21,31,non_skewed
62355,2,28842,40768.9,98,19656.7,22936.5,37,21,19,20,non_skewed
57656,2,28842,40768.9,2,9608,13524.1,27,20,20,20,skewed_2
57656,2,28842,40768.9,10,11839.2,12585.9,30,26,23,25,non_skewed
57663,2,28842,40768.9,8,15565,25981.7,61,34,38,42,skewed_2
57656,2,28842,40768.9,2,22850,32242.7,36,20,19,20,non_skewed
57656,2,28842,40768.9,2,5142.5,6562.66,28,20,18,20,non_skewed
62200,2,28842,40768.9,100,16712,23130,38,33,42,32,vector
57656,2,28842,40768.9,2,12095,17035.6,28,19,19,20,skewed_2
57656,2,28842,40768.9,2,23631,33062.9,26,20,19,21,non_skewed
57656,2,28842,40768.9,2,9323.5,12471.2,22,19,20,21,skewed_2
60787,2,28842,40768.9,2,30421.5,42963.1,27,20,19,21,non_skewed
57656,2,28842,40768.9,2,19431,26937.9,34,20,19,21,non_skewed
64978,2,28842,40768.9,8,18478.4,24503.9,30,21,20,20,non_skewed
60687,2,28842,40768.9,110,19275.3,23652.8,36,20,19,21,non_skewed
57656,2,28842,40768.9,2,22124,31160.8,21,21,20,20,non_skewed
57656,2,28842,40768.9,8,23647.2,26339.2,32,23,22,29,non_skewed
57656,2,28842,40768.9,8,11160.8,19451.1,33,23,21,23,non_skewed
57656,2,28842,40768.9,2,5764,7437.35,21,20,19,20,non_skewed
57656,2,28842,40768.9,2,21726.5,30013.1,21,21,20,20,non_skewed
57656,2,28842,40768.9,2,28348.5,40018.7,21,20,20,21,skewed_2
57656,2,28842,40768.9,2,9225.5,12981.8,20,20,20,19,vector
65521,2,28842,40768.9,58,11433.4,20328.5,44,36,39,33,vector
57656,2,28842,40768.9,12,15224.9,19409.6,44,44,34,43,non_skewed
57656,2,28842,40768.9,6,11455.7,12981.6,32,28,20,22,non_skewed
57656,2,28842,40768.9,4,17728.5,22310.9,26,22,20,20,non_skewed
59905,2,28842,40768.9,2,30076,42204.4,28,21,19,20,non_skewed
57656,2,28842,40768.9,12,4284.08,7633.48,21,35,32,43,skewed_1
57656,2,28842,40768.9,2,23070.5,31915.3,26,20,19,21,non_skewed
57656,2,28842,40768.9,2,11169,15091.1,22,19,21,20,skewed_2
64785,2,28842,40768.9,4,19400.5,30742,29,21,19,20,non_skewed
57656,2,28842,40768.9,2,25283,35686.3,22,21,20,20,non_skewed
57656,2,28842,40768.9,14,15793.9,16792.2,27,42,34,48,skewed_1
58023,2,28842,40768.9,12,10727.4,16555.2,22,37,20,22,non_skewed
57656,2,28842,40768.9,2,18002,25386.5,31,28,21,30,non_skewed
65031,2,28842,40768.9,152,16837.6,21376.7,33,28,19,20,non_skewed
64245,2,28842,40768.9,44,19488.9,21954,30,21,20,20,non_skewed
61604,2,28842,40768.9,4,21605.8,28896.5,29,21,19,20,non_skewed
57656,2,28842,40768.9,2,26162.5,36935.7,28,20,19,20,non_skewed
57656,2,28842,40768.9,6,17975.8,19254.2,28,22,20,29,non_skewed
57656,2,28842,40768.9,6,16708.5,18844.5,27,22,20,22,non_skewed
57656,2,28842,40768.9,2,13076.5,17785.9,26,21,21,20,vector
60471,2,28842,40768.9,2,30265,42737.5,28,21,22,20,vector
57656,2,28842,40768.9,2,11492,16051.3,26,20,20,19,vector
57656,2,28842,40768.9,2,23885.5,33070.7,26,21,20,20,non_skewed
57656,2,28842,40768.9,6,22924.2,25330.5,27,22,20,22,non_skewed
57656,2,28842,40768.9,2,18895,26448.6,27,20,19,21,non_skewed
57656,2,28842,40768.9,2,2441,2743.57,28,20,19,20,non_skewed
64478,2,28842,40768.9,8,29795.9,31827.7,28,20,19,20,non_skewed
57656,2,28842,40768.9,2,24489,34026,27,21,19,20,non_skewed
57656,2,28842,40768.9,2,9953,13361.5,21,19,20,20,skewed_2
57656,2,28842,40768.9,2,25491,35981.8,22,21,19,20,non_skewed
63960,2,28842,40768.9,4,18818,30559.9,41,31,20,21,non_skewed
64341,2,28842,40768.9,152,16124,20846.9,58,37,51,57,skewed_2
57656,2,28842,40768.9,2,12642,17164.3,33,31,26,31,non_skewed
62976,2,28842,40768.9,26,11665.5,15742.8,40,24,21,21,non_skewed
57656,2,28842,40768.9,2,26905,37787.8,24,20,18,20,non_skewed
