range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,fastest_algo
51200,2,14787.5,20902.8,2,25876,35823.4,26,25,19,non_skewed
48222,2,14787.5,20902.8,2,24116,34098.1,29,23,27,skewed_2
62810,2,14787.5,20902.8,12,23992.4,28915.4,35,60,19,non_skewed
65016,2,14787.5,20902.8,4,28117.5,33202.7,29,29,19,non_skewed
40898,2,14787.5,20902.8,4,13613.8,19078.7,29,38,37,skewed_1
52790,2,14787.5,20902.8,8,26138.8,27441.4,28,47,19,non_skewed
63502,2,14787.5,20902.8,8,16757.4,26418.2,49,86,50,skewed_1
63211,2,14787.5,20902.8,10,28085,29750.7,34,61,19,non_skewed
39065,2,14787.5,20902.8,4,18266.5,21143.2,29,25,18,non_skewed
53379,2,14787.5,20902.8,2,26942,37397.5,27,25,18,non_skewed
47679,2,14787.5,20902.8,10,11037.3,15604.5,33,75,38,skewed_1
64992,2,14787.5,20902.8,134,18069.7,23894.1,69,365,39,non_skewed
47899,2,14787.5,20902.8,2,24203,33521.1,24,25,18,non_skewed
62342,2,14787.5,20902.8,165,15772.3,19433.2,60,78,31,non_skewed
29561,2,14787.5,20902.8,10,6738.3,7863.47,41,64,36,non_skewed
62550,2,14787.5,20902.8,14,27301,28592.5,34,46,19,non_skewed
29561,2,14787.5,20902.8,4,4814.75,5706.13,36,49,32,non_skewed
48186,2,14787.5,20902.8,8,20265.6,21537.7,33,50,20,non_skewed
62355,2,14787.5,20902.8,98,19656.7,22936.5,41,287,25,non_skewed
29561,2,14787.5,20902.8,2,9608,13524.1,35,24,24,skewed_2
29561,2,14787.5,20902.8,10,11839.2,12585.9,61,32,22,non_skewed
57470,2,14787.5,20902.8,8,15565,25981.7,43,83,40,non_skewed
45642,2,14787.5,20902.8,2,22850,32242.7,24,24,19,non_skewed
29561,2,14787.5,20902.8,2,5142.5,6562.66,32,33,24,non_skewed
62207,2,14787.5,20902.8,100,16712,23130,56,269,35,non_skewed
29561,2,14787.5,20902.8,2,12095,17035.6,33,27,20,non_skewed
47003,2,14787.5,20902.8,2,23631,33062.9,25,24,18,non_skewed
29561,2,14787.5,20902.8,2,9323.5,12471.2,36,24,18,non_skewed
60794,2,14787.5,20902.8,2,30421.5,42963.1,24,25,19,non_skewed
38472,2,14787.5,20902.8,2,19431,26937.9,25,24,18,non_skewed
64985,2,14787.5,20902.8,8,18478.4,24503.9,29,62,18,non_skewed
60687,2,14787.5,20902.8,110,19275.3,23652.8,48,289,26,non_skewed
44151,2,14787.5,20902.8,2,22124,31160.8,36,23,19,non_skewed
53460,2,14787.5,20902.8,8,23647.2,26339.2,40,44,18,non_skewed
56160,2,14787.5,20902.8,8,11160.8,19451.1,38,67,20,non_skewed
29561,2,14787.5,20902.8,2,5764,7437.35,36,30,19,non_skewed
42942,2,14787.5,20902.8,2,21726.5,30013.1,30,26,19,non_skewed
56639,2,14787.5,20902.8,2,28348.5,40018.7,27,35,19,non_skewed
29561,2,14787.5,20902.8,2,9225.5,12981.8,38,24,17,non_skewed
65521,2,14787.5,20902.8,58,11433.4,20328.5,41,157,18,non_skewed
55177,2,14787.5,20902.8,12,15224.9,19409.6,42,76,36,non_skewed
29561,2,14787.5,20902.8,6,11455.7,12981.6,39,45,32,non_skewed
47322,2,14787.5,20902.8,4,17728.5,22310.9,29,48,19,non_skewed
59912,2,14787.5,20902.8,2,30076,42204.4,26,26,19,non_skewed
29561,2,14787.5,20902.8,12,4284.08,7633.48,40,55,36,non_skewed
45631,2,14787.5,20902.8,2,23070.5,31915.3,23,23,18,non_skewed
29561,2,14787.5,20902.8,2,11169,15091.1,37,25,20,non_skewed
64792,2,14787.5,20902.8,4,19400.5,30742,38,55,18,non_skewed
50510,2,14787.5,20902.8,2,25283,35686.3,24,26,20,non_skewed
39457,2,14787.5,20902.8,14,15793.9,16792.2,35,61,19,non_skewed
58030,2,14787.5,20902.8,12,10727.4,16555.2,40,62,36,non_skewed
35946,2,14787.5,20902.8,2,18002,25386.5,24,25,19,non_skewed
65031,2,14787.5,20902.8,152,16837.6,21376.7,61,311,18,non_skewed
64252,2,14787.5,20902.8,44,19488.9,21954,39,104,18,non_skewed
61611,2,14787.5,20902.8,4,21605.8,28896.5,38,38,18,non_skewed
52273,2,14787.5,20902.8,2,26162.5,36935.7,24,25,19,non_skewed
37317,2,14787.5,20902.8,6,17975.8,19254.2,43,41,21,non_skewed
37648,2,14787.5,20902.8,6,16708.5,18844.5,44,60,20,non_skewed
29561,2,14787.5,20902.8,2,13076.5,17785.9,43,33,24,non_skewed
60478,2,14787.5,20902.8,2,30265,42737.5,32,33,22,non_skewed
29561,2,14787.5,20902.8,2,11492,16051.3,37,27,18,non_skewed
47263,2,14787.5,20902.8,2,23885.5,33070.7,36,24,18,non_skewed
52526,2,14787.5,20902.8,6,22924.2,25330.5,39,27,19,non_skewed
37590,2,14787.5,20902.8,2,18895,26448.6,23,25,18,non_skewed
29561,2,14787.5,20902.8,2,2441,2743.57,40,25,18,non_skewed
64485,2,14787.5,20902.8,8,29795.9,31827.7,29,44,19,non_skewed
48542,2,14787.5,20902.8,2,24489,34026,24,24,18,non_skewed
29561,2,14787.5,20902.8,2,9953,13361.5,33,23,18,non_skewed
50927,2,14787.5,20902.8,2,25491,35981.8,34,24,18,non_skewed
63967,2,14787.5,20902.8,4,18818,30559.9,38,44,18,non_skewed
64341,2,14787.5,20902.8,152,16124,20846.9,57,299,39,non_skewed
29561,2,14787.5,20902.8,2,12642,17164.3,34,24,20,non_skewed
62983,2,14787.5,20902.8,26,11665.5,15742.8,44,102,32,non_skewed
53618,2,14787.5,20902.8,2,26905,37787.8,32,22,18,non_skewed
52106,2,14787.5,20902.8,2,26260.5,36561,24,25,29,skewed_1
36546,2,14787.5,20902.8,2,18324,25779.7,24,24,18,non_skewed
65194,2,14787.5,20902.8,152,16976.6,21472.8,44,258,26,non_skewed
29561,2,14787.5,20902.8,6,14826.3,16002.6,36,46,26,non_skewed
57896,2,14787.5,20902.8,2,29058,40793,23,24,18,non_skewed
31598,2,14787.5,20902.8,2,16007,22058.9,24,24,18,non_skewed
57444,2,14787.5,20902.8,2,28750.5,40588.6,24,24,18,non_skewed
61478,2,14787.5,20902.8,8,20060.1,27492.4,29,64,18,non_skewed
65305,2,14787.5,20902.8,24,12957.8,19551.8,48,117,35,non_skewed
29561,2,14787.5,20902.8,4,8799.25,9579.68,36,50,31,non_skewed
64881,2,14787.5,20902.8,4,27471.8,32460.8,36,45,18,non_skewed
54739,2,14787.5,20902.8,4,27397.2,31577.9,28,33,19,non_skewed
29561,2,14787.5,20902.8,6,9969.83,10880.1,36,53,27,non_skewed
50420,2,14787.5,20902.8,40,17552.9,20499.8,48,161,26,non_skewed
39965,2,14787.5,20902.8,2,20015.5,28222.8,28,23,19,non_skewed
29561,2,14787.5,20902.8,2,2851,3378.56,33,31,19,non_skewed
38077,2,14787.5,20902.8,8,8262.62,13012.3,29,62,30,skewed_1
45023,2,14787.5,20902.8,6,12236.5,17270.3,28,61,34,skewed_1
29561,2,14787.5,20902.8,2,14165.5,19962.3,41,23,19,non_skewed
38328,2,14787.5,20902.8,2,19377.5,26810,26,24,19,non_skewed
63838,2,14787.5,20902.8,152,16012.1,20728.7,63,270,27,non_skewed
64751,2,14787.5,20902.8,2,32376.5,45785.9,35,23,27,skewed_2
47600,2,14787.5,20902.8,6,14098.5,19735.4,29,47,28,non_skewed
64049,2,14787.5,20902.8,20,22542.8,25655.5,36,72,18,non_skewed
29561,2,14787.5,20902.8,6,11653,12718.1,39,35,20,non_skewed
42530,2,14787.5,20902.8,14,12512.6,14813.5,41,71,30,non_skewed
62081,2,14787.5,20902.8,90,13617.4,18471.3,59,284,46,non_skewed
39613,2,14787.5,20902.8,2,19832,27984.5,28,25,19,non_skewed
61370,2,14787.5,20902.8,30,21393.6,24936.9,43,96,19,non_skewed
29561,2,14787.5,20902.8,6,9700.33,11521.6,36,40,18,non_skewed
64949,2,14787.5,20902.8,10,23822.6,27136.9,36,46,18,non_skewed
29561,2,14787.5,20902.8,4,3886,4430.59,36,57,23,non_skewed
61320,2,14787.5,20902.8,14,19564.8,24003.2,32,69,32,skewed_1
63820,2,14787.5,20902.8,34,17551.3,20669.4,44,134,18,non_skewed
65018,2,14787.5,20902.8,152,16461.5,21107,43,272,40,non_skewed
29561,2,14787.5,20902.8,2,2927,3425.23,32,23,18,non_skewed
37560,2,14787.5,20902.8,4,12570.8,17508.5,29,39,18,non_skewed
43494,2,14787.5,20902.8,2,21962,30460.7,24,23,19,non_skewed
60778,2,14787.5,20902.8,2,30418,42945.4,28,25,19,non_skewed
60564,2,14787.5,20902.8,14,16238.6,23123.4,32,79,31,non_skewed
48730,2,14787.5,20902.8,40,3758.12,8161.72,48,103,19,non_skewed
49762,2,14787.5,20902.8,4,24245,27455.1,29,44,20,non_skewed
64120,2,14787.5,20902.8,8,18507.9,22993.2,38,65,20,non_skewed
65458,2,14787.5,20902.8,30,18407.3,24807.7,36,108,19,non_skewed
57663,2,28842,40768.9,2,14787.5,20902.8,38,24,40,skewed_2
57656,2,28842,40768.9,2,28842,40768.9,40,57,49,skewed_1
64156,2,28842,40768.9,24,19620.2,23150.6,56,131,51,non_skewed
65080,2,28842,40768.9,546,16033.7,20633.6,76,821,33,non_skewed
57656,2,28842,40768.9,6,6690.67,8233.69,35,29,20,non_skewed
57656,2,28842,40768.9,2,13220,18625.2,42,23,18,non_skewed
57656,2,28842,40768.9,2,17350.5,23886.8,35,24,17,non_skewed
57656,2,28842,40768.9,6,16126.5,17137.1,36,28,19,non_skewed
