range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65518,9862,16767.2,21066,2,2803.5,3937.88,64,51,58,56,skewed_2
65518,9862,16767.2,21066,3837,17323.1,21382.2,854,358,3551,805,skewed_2
65518,9862,16767.2,21066,1801,17985,21933.9,396,317,918,393,skewed_2
65518,9862,16767.2,21066,4,18401.5,28149.1,181,39,104,261,skewed_2
65518,9862,16767.2,21066,1459,16653.1,20957.1,260,205,850,310,skewed_2
65518,9862,16767.2,21066,2,16200.5,22888.3,117,75,79,121,skewed_2
65518,9862,16767.2,21066,8,20605.2,22006.6,140,74,90,69,vector
65518,9862,16767.2,21066,1932,5758.25,5754.12,87,1048,498,347,skewed_1
65518,9862,16767.2,21066,326,16417,16439.3,107,214,161,129,skewed_1
65518,9862,16767.2,21066,1086,14487,14477.1,162,549,325,240,skewed_1
65518,9862,16767.2,21066,10,18775.2,22043.6,222,185,141,91,vector
65518,9862,16767.2,21066,1728,16381.8,21717.2,459,295,863,490,skewed_2
65518,9862,16767.2,21066,2588,17323.2,21529.6,870,389,1527,850,skewed_2
65518,9862,16767.2,21066,875,15857.8,21559.8,716,258,971,265,skewed_2
65518,9862,16767.2,21066,106,14883,14933.6,141,93,99,103,skewed_2
65518,9862,16767.2,21066,1472,6912.75,6899.73,103,843,403,263,skewed_1
65518,9862,16767.2,21066,30,18332,18625,118,73,81,94,skewed_2
65518,9862,16767.2,21066,474,17240.4,21733.9,205,197,536,300,skewed_2
65518,9862,16767.2,21066,25599,16146,21159.3,1443,830,8823,4111,skewed_2
65518,9862,16767.2,21066,8,15167.2,16193.1,123,60,96,59,vector
65518,9862,16767.2,21066,18,21216.7,25232.1,602,87,327,844,skewed_2
65518,9862,16767.2,21066,1054,15886.2,20492.4,690,166,656,369,skewed_2
65518,9862,16767.2,21066,6143,16768.8,21147.7,1022,399,4896,1187,skewed_2
65518,9862,16767.2,21066,6143,16768.8,21147.7,908,211,4731,1100,skewed_2
65518,9862,16767.2,21066,6272,16226,20793.6,1010,398,4370,2235,skewed_2
65518,9862,16767.2,21066,886,15372.3,19820.7,216,136,881,555,skewed_2
65518,9862,16767.2,21066,4657,16038.5,20258.9,1194,552,2131,1031,skewed_2
65518,9862,16767.2,21066,390,29233,29251.6,177,42,195,179,skewed_2
65518,9862,16767.2,21066,6,19153,20959.2,130,73,101,185,skewed_2
65518,9862,16767.2,21066,146,11107.5,11139.7,100,134,104,109,skewed_1
65518,9862,16767.2,21066,2964,17039.6,21359.4,415,271,1849,916,skewed_2
65518,9862,16767.2,21066,489,17958.6,22668.1,198,182,2388,147,vector
65518,9862,16767.2,21066,3629,16238,20784.1,752,243,3111,650,skewed_2
65518,9862,16767.2,21066,189,23413.2,26156.8,95,225,788,114,skewed_1
65518,9862,16767.2,21066,7132,16050.6,20763.7,1119,592,4200,2395,skewed_2
65518,9862,16767.2,21066,134,14796.6,20802.6,315,174,379,270,skewed_2
65518,9862,16767.2,21066,1397,16773.3,21118.5,668,223,1037,424,skewed_2
65518,9862,16767.2,21066,98,23150.5,23251.4,162,113,117,117,skewed_2
65518,9862,16767.2,21066,1750,18571,18575.2,245,918,629,373,skewed_1
65518,9862,16767.2,21066,19229,16734.2,21491.3,1260,702,9731,3191,skewed_2
65518,9862,16767.2,21066,815,17811.6,22576.6,176,309,574,224,skewed_1
65518,9862,16767.2,21066,12643,16861.8,21310.8,1253,597,6003,2193,skewed_2
65518,9862,16767.2,21066,8,10507.9,14571.3,154,61,106,47,vector
65518,9862,16767.2,21066,1782,15061.5,19735,276,370,2913,1497,skewed_1
65518,9862,16767.2,21066,4,26915.5,31126.3,163,68,133,256,skewed_2
65518,9862,16767.2,21066,2,2051,2882.17,64,71,55,67,non_skewed
65518,9862,16767.2,21066,541,18893.1,23253.3,164,301,869,175,skewed_1
65518,9862,16767.2,21066,3127,16820,21358.8,845,355,3139,693,skewed_2
65518,9862,16767.2,21066,182,19980.5,20030.6,127,171,128,120,vector
65518,9862,16767.2,21066,106,14940.6,18990.5,113,214,437,128,skewed_1
65518,9862,16767.2,21066,1654,29590.5,29588.9,265,43,625,348,skewed_2
65518,9862,16767.2,21066,298,16411.8,21928,562,42,393,256,skewed_2
65518,9862,16767.2,21066,1943,16372.9,20295.6,788,310,988,550,skewed_2
65518,9862,16767.2,21066,469,18753.8,20406.8,4504,594,2521,1368,skewed_2
65523,9862,16767.2,21066,3418,17894.5,22021.2,405,511,3125,1713,skewed_1
65518,9862,16767.2,21066,34,15564,15777.8,111,85,86,83,vector
65518,9862,16767.2,21066,36,12585.6,13363.8,146,128,133,87,vector
65518,9862,16767.2,21066,98,12251,12296.9,107,108,97,86,vector
65518,9862,16767.2,21066,4,21948.8,30114,569,33,302,998,skewed_2
65518,9862,16767.2,21066,1350,15995.5,21062.9,258,265,801,475,skewed_1
65518,9862,16767.2,21066,670,18529.6,21968.5,300,259,681,401,skewed_2
65527,9862,16767.2,21066,9677,16546.4,20927.6,2098,876,4141,2330,skewed_2
65518,9862,16767.2,21066,11147,16848.2,21368.1,1587,820,5832,1987,skewed_2
65518,9862,16767.2,21066,2,26714,37770.8,177,67,105,245,skewed_2
65518,9862,16767.2,21066,6,26170.2,29038.3,192,86,123,282,skewed_2
65518,9862,16767.2,21066,8,20409.2,21797,136,80,92,69,vector
65518,9862,16767.2,21066,8,19446.2,20767.5,125,69,86,77,skewed_2
65518,9862,16767.2,21066,1262,30431.5,30427.8,624,39,599,408,skewed_2
65518,9862,16767.2,21066,8354,16028.5,20792.5,726,472,4879,2554,skewed_2
65518,9862,16767.2,21066,2,5845,8253.35,73,79,66,90,non_skewed
65518,9862,16767.2,21066,1712,6213.75,6209.02,173,875,498,315,skewed_1
65535,9862,16767.2,21066,30147,16968.7,21371.5,2435,1086,10163,5114,skewed_2
65518,9862,16767.2,21066,2333,16999.4,21118.8,1069,576,1625,628,skewed_2
65518,9862,16767.2,21066,2,10518.5,14858.4,107,79,70,95,non_skewed
65518,9862,16767.2,21066,562,16388.8,20812.3,183,118,592,310,skewed_2
65518,9862,16767.2,21066,270,29399,29434.6,168,25,166,141,skewed_2
65518,9862,16767.2,21066,544,29937.8,29947.3,356,31,430,233,skewed_2
65518,9862,16767.2,21066,4,3873.25,7039.68,87,65,70,80,skewed_2
65518,9862,16767.2,21066,1398,14985.2,20170.2,196,175,995,451,skewed_2
65518,9862,16767.2,21066,86,20212.5,20310.9,135,96,110,107,skewed_2
65518,9862,16767.2,21066,4,20078,25965.7,174,127,133,255,skewed_2
65518,9862,16767.2,21066,4,21096.2,24358.7,134,66,99,167,skewed_2
65526,9862,16767.2,21066,19410,16988.2,21386.8,1846,740,5211,3064,skewed_2
65518,9862,16767.2,21066,4030,17828.8,22186.6,468,484,1897,1083,skewed_1
65518,9862,16767.2,21066,2,17249,24388.1,117,71,74,127,skewed_2
65518,9862,16767.2,21066,455,17117,20721.1,290,337,584,172,vector
65518,9862,16767.2,21066,6,17049.8,24063.3,600,139,321,857,skewed_2
65518,9862,16767.2,21066,504,3075.75,3059.22,70,281,198,124,skewed_1
65518,9862,16767.2,21066,110,15032.6,3642.58,190,209,127,136,non_skewed
65518,9862,16767.2,21066,1166,16741.4,21458.7,719,83,2458,1391,skewed_2
65518,9862,16767.2,21066,390,5602,5589.31,133,249,158,136,skewed_1
65518,9862,16767.2,21066,24,5946.25,6293.57,151,170,122,65,vector
