range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65534,197564,16629.1,21001.3,29803,16721.3,21094.2,12095,17952,26935,6174,vector
65534,197564,16629.1,21001.3,55919,16789.3,21222.2,16392,20305,68445,10325,vector
65534,197564,16629.1,21001.3,88039,16640.4,21065.3,27863,43418,119544,19892,vector
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,122491,84931,431108,233258,skewed_2
65534,197564,16629.1,21001.3,278,17093.7,21678.7,2556,727,2151,1216,skewed_2
65535,197564,16629.1,21001.3,96613,16755.1,21130.1,31027,43434,134149,17272,vector
65534,197564,16629.1,21001.3,246,16996.9,21074.6,2263,932,2019,1089,skewed_2
65534,197564,16629.1,21001.3,39873,16656.6,21057,14790,39252,31717,7879,vector
65534,197564,16629.1,21001.3,8178,16635.4,21038.6,5819,7926,8320,2531,vector
65534,197564,16629.1,21001.3,25578,16662.7,21009.7,10783,26618,20492,5384,vector
65534,197564,16629.1,21001.3,703,16302,20772.4,3632,1453,2271,819,vector
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,226408,225174,180167,39540,vector
65535,197564,16629.1,21001.3,530445,16886.4,21253.8,31543,30015,375995,82904,skewed_2
65534,197564,16629.1,21001.3,175,17951.1,21771.2,2232,358,1984,3513,skewed_2
65534,197564,16629.1,21001.3,4898,16903.4,21166,4918,7900,5998,1932,vector
65535,197564,16629.1,21001.3,190424,16533.4,20966,45922,131506,126026,35722,vector
65535,197564,16629.1,21001.3,1443329,16707.1,21108.2,127357,77548,432467,233925,skewed_2
65534,197564,16629.1,21001.3,11040,16500.9,20916,5921,12818,11213,6952,skewed_1
65534,197564,16629.1,21001.3,130,16943.1,21245.4,3166,368,1861,1007,skewed_2
65534,197564,16629.1,21001.3,445,16921.6,21310.2,3554,1329,2140,622,vector
65534,197564,16629.1,21001.3,2078,16733.6,21468.5,4335,3317,4330,1502,vector
65534,197564,16629.1,21001.3,28456,17700.6,21532.7,8759,12166,22395,5635,vector
65534,197564,16629.1,21001.3,36099,16448.5,20986.7,14215,19043,52662,7233,vector
65534,197564,16629.1,21001.3,68734,16603.9,21077.1,18620,33115,79239,16220,vector
65534,197564,16629.1,21001.3,162,17178.5,21446.8,3594,365,1926,1002,skewed_2
65535,197564,16629.1,21001.3,97017,16618.4,20917.2,30236,59581,102054,17670,vector
65534,197564,16629.1,21001.3,73888,16762,21264.8,18825,29491,97834,16902,vector
65534,197564,16629.1,21001.3,445,16546.3,20997.4,3735,826,2103,655,vector
65534,197564,16629.1,21001.3,91,14970.1,19824.2,2628,398,1905,2071,skewed_2
65534,197564,16629.1,21001.3,8880,17154.2,17178.1,2406,8205,8930,2289,vector
65534,197564,16629.1,21001.3,112507,16517.8,20958.6,31064,44060,125162,19629,vector
65534,197564,16629.1,21001.3,6542,14580,14586.4,2376,6547,5972,1850,vector
65534,197564,16629.1,21001.3,1198,18908.2,23072.1,2365,3088,3946,5469,skewed_1
65534,197564,16629.1,21001.3,10443,16808.9,21161.9,6550,10474,26649,2859,vector
65534,197564,16629.1,21001.3,738,16811,21334.4,3572,883,2365,4865,skewed_2
65534,197564,16629.1,21001.3,308,17528.4,21442.4,3638,482,2033,1065,skewed_2
65534,197564,16629.1,21001.3,48446,16667.3,21014.5,32604,21502,65285,12950,vector
65534,197564,16629.1,21001.3,10038,16514.5,16534.1,2520,8709,8129,2453,vector
65534,197564,16629.1,21001.3,11568,16545.6,21039.9,6384,7941,10575,3153,vector
65534,197564,16629.1,21001.3,46454,16625.6,21090.5,13568,41126,33424,12434,vector
65534,197564,16629.1,21001.3,42115,16639.5,21084.9,13402,38223,30883,8108,vector
65534,197564,16629.1,21001.3,103,14159.9,19406.1,2065,498,1935,3528,skewed_2
65534,197564,16629.1,21001.3,89,14953.2,20220.8,2911,180,1804,1346,skewed_2
65534,197564,16629.1,21001.3,863,16965.1,21318.4,3661,1750,2512,1113,vector
65534,197564,16629.1,21001.3,7560,19842.2,19854.6,2668,7151,7085,2033,vector
65534,197564,16629.1,21001.3,7964,17171.7,20027.5,10752,12773,13187,3072,vector
65534,197564,16629.1,21001.3,27360,16477.9,20918.7,9853,12694,22828,9461,vector
65534,197564,16629.1,21001.3,32,12999.2,18763,3249,319,1635,917,skewed_2
65534,197564,16629.1,21001.3,29794,16517.7,20978,10398,14455,22780,9895,vector
65534,197564,16629.1,21001.3,2014,17821.9,21435.7,3654,5552,5254,1729,vector
65534,197564,16629.1,21001.3,4082,14780,14773.7,2491,3643,4647,1319,vector
65534,197564,16629.1,21001.3,30356,16704.2,21035.6,12257,17957,26037,10047,vector
65534,197564,16629.1,21001.3,1997,16604.8,21082.1,3987,3550,3385,1354,vector
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,121608,85273,432968,239614,skewed_2
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,226155,225140,135179,39561,vector
65534,197564,16629.1,21001.3,5898,16377.6,20754.4,5405,9462,7467,2190,vector
65534,197564,16629.1,21001.3,282,17216.3,21381.2,3658,621,1971,1251,skewed_2
65534,197564,16629.1,21001.3,2626,15129.6,18655.6,3810,7517,7634,2191,vector
65534,197564,16629.1,21001.3,11863,16679.5,21171.2,6439,11918,30113,3062,vector
65534,197564,16629.1,21001.3,7268,23587.8,23591,3372,7678,7463,2114,vector
65534,197564,16629.1,21001.3,5070,16450.3,20877.2,4871,6756,6054,1942,vector
65535,197564,16629.1,21001.3,630099,16675.9,21113,101846,63407,426748,104695,skewed_2
65535,197564,16629.1,21001.3,1749744,16655.9,21067.6,105945,142559,544482,277068,skewed_1
65534,197564,16629.1,21001.3,42800,16567.8,21074.9,15311,36876,61592,12055,vector
65535,197564,16629.1,21001.3,72576,16659.4,21079.5,22252,63023,53902,16960,vector
65534,197564,16629.1,21001.3,8272,16788.4,21049,6054,8476,8920,2511,vector
65535,197564,16629.1,21001.3,171933,16608.6,21039.3,45352,45413,157704,29249,vector
65534,197564,16629.1,21001.3,58408,16806.7,21133.7,20832,26073,45277,14940,vector
65534,197564,16629.1,21001.3,29803,16721.3,21094.2,12882,18341,25301,6114,vector
65535,197564,16629.1,21001.3,862911,16726.2,21100.6,96812,122458,434958,141728,skewed_1
65534,197564,16629.1,21001.3,88039,16640.4,21065.3,27542,41999,119737,19754,vector
65534,197564,16629.1,21001.3,108817,16634.7,20972.8,32572,87461,79988,19360,vector
65535,197564,16629.1,21001.3,41139,16795.6,21115.6,16295,21673,36063,8400,vector
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,120934,80637,430349,231161,skewed_2
65534,197564,16629.1,21001.3,29803,16721.3,21094.2,11832,18908,37996,6116,vector
65534,197564,16629.1,21001.3,25578,16662.7,21009.7,10649,26859,20834,5389,vector
65535,197564,16629.1,21001.3,38884,16590.7,20989.4,14936,38721,32868,11432,vector
65534,197564,16629.1,21001.3,196,16946.3,21069.8,3493,688,1957,1034,skewed_2
65534,197564,16629.1,21001.3,180,19640.6,22776.7,2559,899,1992,1112,skewed_2
65534,197564,16629.1,21001.3,7280,16167.7,20900.9,5571,8857,8859,2347,vector
65535,197564,16629.1,21001.3,499585,16626.2,21049.8,83227,75505,468920,87529,skewed_2
65534,197564,16629.1,21001.3,444,16682.3,21069.3,3774,784,2155,1223,skewed_2
65534,197564,16629.1,21001.3,413,15984.2,20559.2,3759,953,2200,583,vector
65534,197564,16629.1,21001.3,5310,17053.8,21115.9,4934,5976,6656,1954,vector
65534,197564,16629.1,21001.3,16014,16133.7,20629.2,7439,17736,13787,7466,skewed_1
65534,197564,16629.1,21001.3,6982,16532.3,21109.1,5478,9409,7509,2289,vector
65534,197564,16629.1,21001.3,7964,17171.7,20027.5,10492,12819,13513,3044,vector
65535,197564,16629.1,21001.3,131331,16661.7,21053.2,37934,69898,130862,26614,vector
65534,197564,16629.1,21001.3,73888,16762,21264.8,18690,28515,98353,16890,vector
65534,197564,16629.1,21001.3,1808,16738.9,20964.3,3999,2330,3218,1362,vector
